# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.005         	2.219270e+02	-2.649921e+00	2.245769e+02	2.272268e+02	1.120214e+02	1.152054e+02	-1.591985e+00	-1.136134e+02	1.109635e+02	-1.757904e-16	1.109635e+02	-1.109635e+02
0.01          	2.439409e+02	-1.582496e+01	2.597659e+02	2.755909e+02	-1.785021e+02	4.540930e+02	-3.162976e+02	-1.377954e+02	1.219705e+02	-1.679718e-16	1.219705e+02	-1.219705e+02
0.015         	2.009510e+02	-1.478515e+01	2.157361e+02	2.305213e+02	-4.067410e+01	2.711953e+02	-1.559347e+02	-1.152606e+02	1.004755e+02	-1.515132e-16	1.004755e+02	-1.004755e+02
0.02          	1.820586e+02	-1.143786e+01	1.934964e+02	2.049343e+02	8.182753e+01	1.231068e+02	-2.063962e+01	-1.024671e+02	9.102929e+01	-1.368243e-16	9.102929e+01	-9.102929e+01
0.025         	1.783019e+02	-9.703184e+00	1.880051e+02	1.977083e+02	1.169633e+02	8.074494e+01	1.810920e+01	-9.885414e+01	8.915096e+01	-1.312068e-16	8.915096e+01	-8.915096e+01
0.03          	1.744328e+02	-1.031089e+01	1.847437e+02	1.950546e+02	1.060596e+02	8.899499e+01	8.532317e+00	-9.752731e+01	8.721642e+01	-1.339427e-16	8.721642e+01	-8.721642e+01
0.035         	1.733571e+02	-1.256445e+01	1.859216e+02	1.984860e+02	6.589066e+01	1.325954e+02	-3.335234e+01	-9.924301e+01	8.667856e+01	-1.378508e-16	8.667856e+01	-8.667856e+01
0.04          	1.697321e+02	-1.671291e+01	1.864450e+02	2.031580e+02	-2.105070e+00	2.052630e+02	-1.036840e+02	-1.015790e+02	8.486607e+01	-1.411620e-16	8.486607e+01	-8.486607e+01
0.045         	1.663175e+02	-1.929332e+01	1.856108e+02	2.049042e+02	-4.033078e+01	2.452349e+02	-1.427829e+02	-1.024521e+02	8.315876e+01	-1.435259e-16	8.315876e+01	-8.315876e+01
0.05          	1.671339e+02	-2.445186e+01	1.915858e+02	2.160376e+02	-1.334821e+02	3.495198e+02	-2.415010e+02	-1.080188e+02	8.356695e+01	-1.450911e-16	8.356695e+01	-8.356695e+01
