# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
7.1001        	2.151535e+02	-1.432559e+02	3.584095e+02	5.016654e+02	-2.214832e+03	2.716497e+03	-2.465664e+03	-2.508327e+02	1.075768e+02	-6.526704e-17	1.075768e+02	-1.075768e+02
7.1002        	2.443294e+02	-1.470538e+02	3.913832e+02	5.384370e+02	-2.361455e+03	2.899892e+03	-2.630674e+03	-2.692185e+02	1.221647e+02	-4.436830e-17	1.221647e+02	-1.221647e+02
7.1003        	2.562487e+02	-1.497644e+02	4.060131e+02	5.557776e+02	-2.446336e+03	3.002113e+03	-2.724224e+03	-2.778888e+02	1.281243e+02	-3.823524e-17	1.281243e+02	-1.281243e+02
7.1004        	2.630088e+02	-1.520768e+02	4.150855e+02	5.671623e+02	-2.507441e+03	3.074603e+03	-2.791022e+03	-2.835811e+02	1.315044e+02	-3.794768e-17	1.315044e+02	-1.315044e+02
7.1005        	2.677963e+02	-1.539063e+02	4.217026e+02	5.756089e+02	-2.551395e+03	3.127004e+03	-2.839200e+03	-2.878044e+02	1.338982e+02	-3.790945e-17	1.338982e+02	-1.338982e+02
7.1006        	2.717398e+02	-1.554803e+02	4.272201e+02	5.827003e+02	-2.585478e+03	3.168178e+03	-2.876828e+03	-2.913502e+02	1.358699e+02	-3.775288e-17	1.358699e+02	-1.358699e+02
7.1007        	2.748329e+02	-1.567534e+02	4.315863e+02	5.883398e+02	-2.610931e+03	3.199270e+03	-2.905100e+03	-2.941699e+02	1.374165e+02	-3.765923e-17	1.374165e+02	-1.374165e+02
7.1008        	2.772168e+02	-1.578824e+02	4.350992e+02	5.929816e+02	-2.632148e+03	3.225130e+03	-2.928639e+03	-2.964908e+02	1.386084e+02	-3.759162e-17	1.386084e+02	-1.386084e+02
7.1009        	2.790624e+02	-1.587872e+02	4.378496e+02	5.966367e+02	-2.648747e+03	3.245383e+03	-2.947065e+03	-2.983184e+02	1.395312e+02	-3.762328e-17	1.395312e+02	-1.395312e+02
7.101         	2.805533e+02	-1.595607e+02	4.401140e+02	5.996748e+02	-2.662757e+03	3.262432e+03	-2.962594e+03	-2.998374e+02	1.402767e+02	-3.743215e-17	1.402767e+02	-1.402767e+02
