# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
7.10001       	-4.688560e+02	5.516543e+01	-5.240215e+02	-5.791869e+02	2.756935e+03	-3.336122e+03	3.046528e+03	2.895935e+02	-2.344280e+02	-3.139369e-16	-2.344280e+02	2.344280e+02
7.10002       	-1.688165e+02	1.270858e+01	-1.815250e+02	-1.942336e+02	1.218093e+03	-1.412326e+03	1.315209e+03	9.711681e+01	-8.440823e+01	-1.006280e-16	-8.440823e+01	8.440823e+01
7.10003       	-4.979901e+01	-1.629268e+01	-3.350632e+01	-1.721364e+01	3.409202e+02	-3.581338e+02	3.495270e+02	8.606822e+00	-2.489950e+01	-4.757518e-17	-2.489950e+01	2.489950e+01
7.10004       	1.982439e+01	-4.172264e+01	6.154702e+01	1.032697e+02	-3.073850e+02	4.106547e+02	-3.590199e+02	-5.163483e+01	9.912193e+00	-4.857025e-17	9.912193e+00	-9.912193e+00
7.10005       	7.241419e+01	-6.209099e+01	1.345052e+02	1.965962e+02	-7.850327e+02	9.816289e+02	-8.833308e+02	-9.829809e+01	3.620710e+01	-4.840907e-17	3.620710e+01	-3.620710e+01
7.10006       	1.150903e+02	-7.960197e+01	1.946923e+02	2.742943e+02	-1.152289e+03	1.426583e+03	-1.289436e+03	-1.371471e+02	5.754515e+01	-4.717634e-17	5.754515e+01	-5.754515e+01
7.10007       	1.469825e+02	-9.309279e+01	2.400753e+02	3.331681e+02	-1.416378e+03	1.749546e+03	-1.582962e+03	-1.665840e+02	7.349124e+01	-4.646438e-17	7.349124e+01	-7.349124e+01
7.10008       	1.726494e+02	-1.054618e+02	2.781112e+02	3.835729e+02	-1.647294e+03	2.030867e+03	-1.839081e+03	-1.917865e+02	8.632468e+01	-4.644657e-17	8.632468e+01	-8.632468e+01
7.10009       	1.913646e+02	-1.147676e+02	3.061322e+02	4.208998e+02	-1.813925e+03	2.234825e+03	-2.024375e+03	-2.104499e+02	9.568230e+01	-4.727159e-17	9.568230e+01	-9.568230e+01
7.1001        	2.073764e+02	-1.230739e+02	3.304503e+02	4.535242e+02	-1.963014e+03	2.416538e+03	-2.189776e+03	-2.267621e+02	1.036882e+02	-4.749996e-17	1.036882e+02	-1.036882e+02
7.10011       	2.181017e+02	-1.289817e+02	3.470834e+02	4.760651e+02	-2.066420e+03	2.542486e+03	-2.304453e+03	-2.380326e+02	1.090508e+02	-4.783687e-17	1.090508e+02	-1.090508e+02
7.10012       	2.266084e+02	-1.335081e+02	3.601165e+02	4.936246e+02	-2.148099e+03	2.641723e+03	-2.394911e+03	-2.468123e+02	1.133042e+02	-4.745677e-17	1.133042e+02	-1.133042e+02
7.10013       	2.325425e+02	-1.369264e+02	3.694689e+02	5.063953e+02	-2.210210e+03	2.716605e+03	-2.463407e+03	-2.531976e+02	1.162713e+02	-4.709932e-17	1.162713e+02	-1.162713e+02
7.10014       	2.365996e+02	-1.393829e+02	3.759825e+02	5.153654e+02	-2.254039e+03	2.769404e+03	-2.511721e+03	-2.576827e+02	1.182998e+02	-4.646653e-17	1.182998e+02	-1.182998e+02
7.10015       	2.403539e+02	-1.418181e+02	3.821720e+02	5.239901e+02	-2.299395e+03	2.823385e+03	-2.561390e+03	-2.619950e+02	1.201770e+02	-4.583069e-17	1.201770e+02	-1.201770e+02
7.10016       	2.424512e+02	-1.433050e+02	3.857562e+02	5.290613e+02	-2.326204e+03	2.855265e+03	-2.590734e+03	-2.645306e+02	1.212256e+02	-4.507065e-17	1.212256e+02	-1.212256e+02
7.10017       	2.445568e+02	-1.448307e+02	3.893876e+02	5.342183e+02	-2.353033e+03	2.887251e+03	-2.620142e+03	-2.671091e+02	1.222784e+02	-4.480734e-17	1.222784e+02	-1.222784e+02
7.10018       	2.461967e+02	-1.459622e+02	3.921589e+02	5.381210e+02	-2.372035e+03	2.910156e+03	-2.641096e+03	-2.690605e+02	1.230984e+02	-4.462997e-17	1.230984e+02	-1.230984e+02
7.10019       	2.478615e+02	-1.471451e+02	3.950066e+02	5.421517e+02	-2.392735e+03	2.934887e+03	-2.663811e+03	-2.710759e+02	1.239307e+02	-4.457813e-17	1.239307e+02	-1.239307e+02
7.1002        	2.490166e+02	-1.479583e+02	3.969748e+02	5.449331e+02	-2.406292e+03	2.951225e+03	-2.678759e+03	-2.724666e+02	1.245083e+02	-4.456153e-17	1.245083e+02	-1.245083e+02
7.10021       	2.504208e+02	-1.488410e+02	3.992619e+02	5.481029e+02	-2.421902e+03	2.970005e+03	-2.695954e+03	-2.740514e+02	1.252104e+02	-4.451134e-17	1.252104e+02	-1.252104e+02
7.10022       	2.517549e+02	-1.497240e+02	4.014789e+02	5.512029e+02	-2.437701e+03	2.988904e+03	-2.713303e+03	-2.756015e+02	1.258774e+02	-4.477444e-17	1.258774e+02	-1.258774e+02
7.10023       	2.531686e+02	-1.504977e+02	4.036663e+02	5.541641e+02	-2.452383e+03	3.006547e+03	-2.729465e+03	-2.770820e+02	1.265843e+02	-4.464038e-17	1.265843e+02	-1.265843e+02
7.10024       	2.547046e+02	-1.513835e+02	4.060882e+02	5.574717e+02	-2.469116e+03	3.026588e+03	-2.747852e+03	-2.787358e+02	1.273523e+02	-4.491932e-17	1.273523e+02	-1.273523e+02
7.10025       	2.559961e+02	-1.520260e+02	4.080221e+02	5.600481e+02	-2.481772e+03	3.041820e+03	-2.761796e+03	-2.800240e+02	1.279980e+02	-4.475237e-17	1.279980e+02	-1.279980e+02
7.10026       	2.570943e+02	-1.526665e+02	4.097609e+02	5.624274e+02	-2.493743e+03	3.056171e+03	-2.774957e+03	-2.812137e+02	1.285472e+02	-4.509522e-17	1.285472e+02	-1.285472e+02
7.10027       	2.588625e+02	-1.534512e+02	4.123137e+02	5.657648e+02	-2.510132e+03	3.075897e+03	-2.793015e+03	-2.828824e+02	1.294313e+02	-4.495527e-17	1.294313e+02	-1.294313e+02
7.10028       	2.601394e+02	-1.540519e+02	4.141913e+02	5.682431e+02	-2.522473e+03	3.090716e+03	-2.806595e+03	-2.841216e+02	1.300697e+02	-4.493771e-17	1.300697e+02	-1.300697e+02
7.10029       	2.609221e+02	-1.545207e+02	4.154428e+02	5.699635e+02	-2.531239e+03	3.101202e+03	-2.816221e+03	-2.849818e+02	1.304611e+02	-4.538689e-17	1.304611e+02	-1.304611e+02
7.1003        	2.619658e+02	-1.550250e+02	4.169908e+02	5.720158e+02	-2.541469e+03	3.113485e+03	-2.827477e+03	-2.860079e+02	1.309829e+02	-4.551157e-17	1.309829e+02	-1.309829e+02
7.10031       	2.631384e+02	-1.554827e+02	4.186211e+02	5.741038e+02	-2.551560e+03	3.125663e+03	-2.838612e+03	-2.870519e+02	1.315692e+02	-4.519595e-17	1.315692e+02	-1.315692e+02
7.10032       	2.642557e+02	-1.559904e+02	4.202461e+02	5.762365e+02	-2.562090e+03	3.138327e+03	-2.850209e+03	-2.881182e+02	1.321279e+02	-4.517485e-17	1.321279e+02	-1.321279e+02
7.10033       	2.653390e+02	-1.565253e+02	4.218643e+02	5.783896e+02	-2.572691e+03	3.151081e+03	-2.861886e+03	-2.891948e+02	1.326695e+02	-4.544415e-17	1.326695e+02	-1.326695e+02
7.10034       	2.661902e+02	-1.568429e+02	4.230331e+02	5.798759e+02	-2.579531e+03	3.159407e+03	-2.869469e+03	-2.899380e+02	1.330951e+02	-4.536285e-17	1.330951e+02	-1.330951e+02
7.10035       	2.672400e+02	-1.572467e+02	4.244867e+02	5.817335e+02	-2.588149e+03	3.169882e+03	-2.879015e+03	-2.908667e+02	1.336200e+02	-4.500985e-17	1.336200e+02	-1.336200e+02
7.10036       	2.681348e+02	-1.575556e+02	4.256904e+02	5.832460e+02	-2.594854e+03	3.178100e+03	-2.886477e+03	-2.916230e+02	1.340674e+02	-4.487069e-17	1.340674e+02	-1.340674e+02
7.10037       	2.689240e+02	-1.579042e+02	4.268283e+02	5.847325e+02	-2.602211e+03	3.186944e+03	-2.894577e+03	-2.923663e+02	1.344620e+02	-4.490624e-17	1.344620e+02	-1.344620e+02
7.10038       	2.697135e+02	-1.582175e+02	4.279311e+02	5.861486e+02	-2.608912e+03	3.195060e+03	-2.901986e+03	-2.930743e+02	1.348568e+02	-4.479342e-17	1.348568e+02	-1.348568e+02
7.10039       	2.706223e+02	-1.585215e+02	4.291438e+02	5.876653e+02	-2.615624e+03	3.203289e+03	-2.909457e+03	-2.938327e+02	1.353111e+02	-4.452801e-17	1.353111e+02	-1.353111e+02
