# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.005          2.718605e+02 2.783528e+02 2.153432e-16 2.309299e+02 2.918792e+02 2.171995e-16 4.093061e+01 -1.352632e+01 -1.856296e-18
0.01           2.988276e+02 3.375988e+02 2.057655e-16 2.601086e+02 3.508515e+02 2.072313e-16 3.871904e+01 -1.325268e+01 -1.465887e-18
0.015          2.461649e+02 2.823885e+02 1.856037e-16 2.096197e+02 2.954365e+02 1.865551e-16 3.654524e+01 -1.304799e+01 -9.514490e-19
0.02           2.230218e+02 2.510445e+02 1.676098e-16 1.884895e+02 2.638530e+02 1.683165e-16 3.453226e+01 -1.280849e+01 -7.067234e-19
0.025          2.184198e+02 2.421926e+02 1.607283e-16 1.857602e+02 2.546286e+02 1.613567e-16 3.265960e+01 -1.243600e+01 -6.283539e-19
0.03           2.136802e+02 2.389419e+02 1.640798e-16 1.826468e+02 2.508630e+02 1.646851e-16 3.103346e+01 -1.192104e+01 -6.052553e-19
0.035          2.123625e+02 2.431454e+02 1.688673e-16 1.827056e+02 2.544888e+02 1.694975e-16 2.965683e+01 -1.134340e+01 -6.302299e-19
0.04           2.079219e+02 2.488685e+02 1.729234e-16 1.795003e+02 2.597146e+02 1.735548e-16 2.842155e+01 -1.084614e+01 -6.314118e-19
0.045          2.037390e+02 2.510076e+02 1.758193e-16 1.764299e+02 2.614162e+02 1.763566e-16 2.730905e+01 -1.040859e+01 -5.373177e-19
0.05           2.047390e+02 2.646461e+02 1.777366e-16 1.784455e+02 2.746444e+02 1.781577e-16 2.629355e+01 -9.998337e+00 -4.210920e-19
0.055          2.090800e+02 2.819463e+02 1.785285e-16 1.836981e+02 2.915971e+02 1.788848e-16 2.538190e+01 -9.650716e+00 -3.562979e-19
0.06           2.083282e+02 2.912786e+02 1.776049e-16 1.837715e+02 3.006558e+02 1.779784e-16 2.455669e+01 -9.377140e+00 -3.734862e-19
0.065          2.096474e+02 3.021763e+02 1.775655e-16 1.858174e+02 3.113207e+02 1.779869e-16 2.382997e+01 -9.144443e+00 -4.213908e-19
0.07           2.093116e+02 3.072339e+02 1.741874e-16 1.860978e+02 3.161525e+02 1.746773e-16 2.321380e+01 -8.918632e+00 -4.898660e-19
0.075          2.102318e+02 3.125491e+02 1.716340e-16 1.875474e+02 3.212495e+02 1.722127e-16 2.268443e+01 -8.700437e+00 -5.786923e-19
0.08           2.097227e+02 3.163271e+02 1.685621e-16 1.875304e+02 3.248298e+02 1.691869e-16 2.219234e+01 -8.502650e+00 -6.248543e-19
0.085          2.102713e+02 3.224084e+02 1.654795e-16 1.885627e+02 3.307127e+02 1.660810e-16 2.170862e+01 -8.304304e+00 -6.014838e-19
0.09           2.131517e+02 3.355148e+02 1.624257e-16 1.919163e+02 3.435970e+02 1.629294e-16 2.123535e+01 -8.082116e+00 -5.036776e-19
0.095          2.160000e+02 3.488386e+02 1.602770e-16 1.952252e+02 3.566625e+02 1.606474e-16 2.077485e+01 -7.823930e+00 -3.704428e-19
0.1            2.161457e+02 3.516758e+02 1.569973e-16 1.958263e+02 3.592162e+02 1.572272e-16 2.031939e+01 -7.540320e+00 -2.298438e-19
0.105          2.182432e+02 3.600708e+02 1.540315e-16 1.983698e+02 3.673144e+02 1.541558e-16 1.987332e+01 -7.243648e+00 -1.243041e-19
