# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.005          -1.391764e+02 1.359303e+02 1.950181e+00 -1.459396e+02 1.154650e+02 2.585308e+02 6.763160e+00 2.046530e+01 -2.565806e+02
0.01           -1.687994e+02 1.494138e+02 3.874645e+02 -1.754257e+02 1.300543e+02 6.363257e+02 6.626341e+00 1.935952e+01 -2.488611e+02
0.015          -1.411943e+02 1.230825e+02 1.910200e+02 -1.477183e+02 1.048098e+02 4.322768e+02 6.523995e+00 1.827262e+01 -2.412568e+02
0.02           -1.255223e+02 1.115109e+02 2.528354e+01 -1.319265e+02 9.424475e+01 2.583556e+02 6.404244e+00 1.726613e+01 -2.330720e+02
0.025          -1.210963e+02 1.092099e+02 -2.218376e+01 -1.273143e+02 9.288012e+01 2.015863e+02 6.217998e+00 1.632980e+01 -2.237700e+02
0.03           -1.194710e+02 1.068401e+02 -1.045209e+01 -1.254315e+02 9.132338e+01 2.036634e+02 5.960520e+00 1.551673e+01 -2.141155e+02
0.035          -1.215727e+02 1.061812e+02 4.085662e+01 -1.272444e+02 9.135282e+01 2.457295e+02 5.671701e+00 1.482842e+01 -2.048729e+02
0.04           -1.244342e+02 1.039609e+02 1.270130e+02 -1.298573e+02 8.975016e+01 3.235799e+02 5.423070e+00 1.421077e+01 -1.965669e+02
0.045          -1.255038e+02 1.018695e+02 1.749090e+02 -1.307081e+02 8.821496e+01 3.640437e+02 5.204296e+00 1.365452e+01 -1.891347e+02
0.05           -1.323230e+02 1.023695e+02 2.958387e+02 -1.373222e+02 8.922274e+01 4.780106e+02 4.999168e+00 1.314677e+01 -1.821719e+02
0.055          -1.409732e+02 1.045400e+02 4.276739e+02 -1.457985e+02 9.184907e+01 6.036709e+02 4.825358e+00 1.269095e+01 -1.759971e+02
0.06           -1.456393e+02 1.041641e+02 5.263701e+02 -1.503279e+02 9.188573e+01 6.970656e+02 4.688570e+00 1.227834e+01 -1.706954e+02
0.065          -1.510881e+02 1.048237e+02 6.250640e+02 -1.556604e+02 9.290871e+01 7.911886e+02 4.572222e+00 1.191498e+01 -1.661245e+02
0.07           -1.536169e+02 1.046558e+02 6.808085e+02 -1.580763e+02 9.304889e+01 8.428892e+02 4.459316e+00 1.160690e+01 -1.620807e+02
0.075          -1.562745e+02 1.051159e+02 7.284936e+02 -1.606248e+02 9.377370e+01 8.868996e+02 4.350219e+00 1.134221e+01 -1.584060e+02
0.08           -1.581636e+02 1.048614e+02 7.679156e+02 -1.624149e+02 9.376520e+01 9.228372e+02 4.251325e+00 1.109617e+01 -1.549216e+02
0.085          -1.612042e+02 1.051357e+02 8.285318e+02 -1.653564e+02 9.428134e+01 9.799022e+02 4.152152e+00 1.085431e+01 -1.513704e+02
0.09           -1.677574e+02 1.065759e+02 9.347009e+02 -1.717985e+02 9.595817e+01 1.082281e+03 4.041058e+00 1.061768e+01 -1.475802e+02
0.095          -1.744193e+02 1.080000e+02 1.038262e+03 -1.783313e+02 9.761258e+01 1.181784e+03 3.911965e+00 1.038743e+01 -1.435220e+02
0.1            -1.758379e+02 1.080729e+02 1.058515e+03 -1.796081e+02 9.791317e+01 1.197819e+03 3.770160e+00 1.015970e+01 -1.393038e+02
0.105          -1.800354e+02 1.091216e+02 1.119420e+03 -1.836572e+02 9.918492e+01 1.254449e+03 3.621824e+00 9.936661e+00 -1.350285e+02
0.11           -1.830053e+02 1.097304e+02 1.160710e+03 -1.864890e+02 1.000032e+02 1.291761e+03 3.483725e+00 9.727211e+00 -1.310513e+02
0.115          -1.858609e+02 1.103760e+02 1.201054e+03 -1.892299e+02 1.008480e+02 1.328607e+03 3.368980e+00 9.527949e+00 -1.275533e+02
0.12           -1.888289e+02 1.106510e+02 1.251404e+03 -1.920957e+02 1.013153e+02 1.375813e+03 3.266796e+00 9.335694e+00 -1.244087e+02
0.125          -1.916002e+02 1.109453e+02 1.295661e+03 -1.947692e+02 1.017991e+02 1.417147e+03 3.169005e+00 9.146176e+00 -1.214862e+02
0.13           -1.959750e+02 1.118418e+02 1.359516e+03 -1.990520e+02 1.028889e+02 1.478230e+03 3.077039e+00 8.952922e+00 -1.187143e+02
0.135          -2.005074e+02 1.129017e+02 1.424998e+03 -2.034979e+02 1.041481e+02 1.541012e+03 2.990518e+00 8.753619e+00 -1.160140e+02
0.14           -2.035543e+02 1.134322e+02 1.471223e+03 -2.064652e+02 1.048844e+02 1.584582e+03 2.910944e+00 8.547727e+00 -1.133591e+02
0.145          -2.068794e+02 1.139868e+02 1.518718e+03 -2.097144e+02 1.056477e+02 1.629437e+03 2.834992e+00 8.339078e+00 -1.107192e+02
0.15           -2.082935e+02 1.140995e+02 1.539415e+03 -2.110529e+02 1.059676e+02 1.647504e+03 2.759451e+00 8.131893e+00 -1.080890e+02
0.155          -2.102089e+02 1.143799e+02 1.569991e+03 -2.128895e+02 1.064487e+02 1.675447e+03 2.680610e+00 7.931160e+00 -1.054561e+02
0.16           -2.120313e+02 1.147256e+02 1.597995e+03 -2.146310e+02 1.069869e+02 1.700832e+03 2.599661e+00 7.738786e+00 -1.028371e+02
0.165          -2.133206e+02 1.148674e+02 1.616573e+03 -2.158401e+02 1.073118e+02 1.716860e+03 2.519580e+00 7.555525e+00 -1.002863e+02
0.17           -2.140895e+02 1.146087e+02 1.629523e+03 -2.165315e+02 1.072268e+02 1.727365e+03 2.441933e+00 7.381946e+00 -9.784212e+01
0.175          -2.156338e+02 1.145237e+02 1.653228e+03 -2.180013e+02 1.073058e+02 1.748745e+03 2.367480e+00 7.217906e+00 -9.551718e+01
0.18           -2.168478e+02 1.143462e+02 1.671968e+03 -2.191439e+02 1.072849e+02 1.765256e+03 2.296063e+00 7.061263e+00 -9.328848e+01
0.185          -2.182973e+02 1.143310e+02 1.692751e+03 -2.205266e+02 1.074221e+02 1.783896e+03 2.229253e+00 6.908907e+00 -9.114538e+01
0.19           -2.207400e+02 1.147803e+02 1.726939e+03 -2.229059e+02 1.080183e+02 1.816020e+03 2.165847e+00 6.761977e+00 -8.908193e+01
0.195          -2.216549e+02 1.145673e+02 1.742403e+03 -2.237614e+02 1.079465e+02 1.829508e+03 2.106440e+00 6.620781e+00 -8.710429e+01
0.2            -2.234151e+02 1.149575e+02 1.766034e+03 -2.254637e+02 1.084712e+02 1.851223e+03 2.048639e+00 6.486260e+00 -8.518901e+01
0.205          -2.248635e+02 1.151983e+02 1.786863e+03 -2.268538e+02 1.088395e+02 1.870171e+03 1.990271e+00 6.358718e+00 -8.330718e+01
0.21           -2.276759e+02 1.162932e+02 1.824038e+03 -2.296071e+02 1.100556e+02 1.905489e+03 1.931219e+00 6.237549e+00 -8.145083e+01
0.215          -2.289257e+02 1.164275e+02 1.841510e+03 -2.307982e+02 1.103057e+02 1.921127e+03 1.872464e+00 6.121793e+00 -7.961687e+01
0.22           -2.304255e+02 1.168620e+02 1.859175e+03 -2.322411e+02 1.108526e+02 1.936998e+03 1.815649e+00 6.009328e+00 -7.782330e+01
0.225          -2.317871e+02 1.172310e+02 1.876344e+03 -2.335479e+02 1.113320e+02 1.952400e+03 1.760775e+00 5.898984e+00 -7.605606e+01
0.23           -2.334236e+02 1.176632e+02 1.896719e+03 -2.351315e+02 1.118742e+02 1.971024e+03 1.707915e+00 5.788989e+00 -7.430489e+01
0.235          -2.348227e+02 1.179417e+02 1.914212e+03 -2.364795e+02 1.122634e+02 1.986773e+03 1.656760e+00 5.678311e+00 -7.256060e+01
0.24           -2.364818e+02 1.184401e+02 1.933761e+03 -2.380894e+02 1.128740e+02 2.004587e+03 1.607521e+00 5.566067e+00 -7.082561e+01
0.245          -2.374528e+02 1.186330e+02 1.943257e+03 -2.390126e+02 1.131807e+02 2.012358e+03 1.559751e+00 5.452285e+00 -6.910109e+01
0.25           -2.385849e+02 1.188866e+02 1.954794e+03 -2.400980e+02 1.135499e+02 2.022182e+03 1.513120e+00 5.336759e+00 -6.738743e+01
0.255          -2.398877e+02 1.193144e+02 1.968132e+03 -2.413550e+02 1.140946e+02 2.033820e+03 1.467379e+00 5.219791e+00 -6.568756e+01
0.26           -2.402212e+02 1.191758e+02 1.969726e+03 -2.416433e+02 1.140744e+02 2.033726e+03 1.422081e+00 5.101358e+00 -6.399981e+01
0.265          -2.412927e+02 1.194260e+02 1.980878e+03 -2.426707e+02 1.144446e+02 2.043210e+03 1.378047e+00 4.981380e+00 -6.233289e+01
0.27           -2.415599e+02 1.192800e+02 1.981456e+03 -2.428960e+02 1.144191e+02 2.042159e+03 1.336005e+00 4.860887e+00 -6.070280e+01
0.275          -2.421643e+02 1.192301e+02 1.988250e+03 -2.434606e+02 1.144894e+02 2.047373e+03 1.296271e+00 4.740741e+00 -5.912306e+01
0.28           -2.432818e+02 1.194747e+02 1.999960e+03 -2.445396e+02 1.148523e+02 2.057552e+03 1.257863e+00 4.622404e+00 -5.759253e+01
0.285          -2.440653e+02 1.194688e+02 2.008988e+03 -2.452857e+02 1.149616e+02 2.065103e+03 1.220411e+00 4.507173e+00 -5.611565e+01
0.29           -2.447341e+02 1.195533e+02 2.015860e+03 -2.459187e+02 1.151580e+02 2.070563e+03 1.184599e+00 4.395313e+00 -5.470296e+01
0.295          -2.450568e+02 1.195023e+02 2.017735e+03 -2.462070e+02 1.152148e+02 2.071089e+03 1.150202e+00 4.287441e+00 -5.335352e+01
0.3            -2.453034e+02 1.194222e+02 2.018037e+03 -2.464215e+02 1.152389e+02 2.070106e+03 1.118087e+00 4.183347e+00 -5.206882e+01
0.305          -2.457642e+02 1.194958e+02 2.022410e+03 -2.468530e+02 1.154133e+02 2.073254e+03 1.088804e+00 4.082554e+00 -5.084432e+01
0.31           -2.461711e+02 1.196032e+02 2.025670e+03 -2.472315e+02 1.156172e+02 2.075333e+03 1.060393e+00 3.986012e+00 -4.966337e+01
0.315          -2.465806e+02 1.197131e+02 2.028992e+03 -2.476127e+02 1.158201e+02 2.077500e+03 1.032114e+00 3.893002e+00 -4.850845e+01
0.32           -2.473172e+02 1.199778e+02 2.036723e+03 -2.483214e+02 1.161742e+02 2.084107e+03 1.004265e+00 3.803605e+00 -4.738429e+01
0.325          -2.474829e+02 1.199495e+02 2.036908e+03 -2.484589e+02 1.162320e+02 2.083186e+03 9.760070e-01 3.717485e+00 -4.627825e+01
0.33           -2.483826e+02 1.203235e+02 2.046660e+03 -2.493309e+02 1.166890e+02 2.091861e+03 9.483679e-01 3.634444e+00 -4.520063e+01
0.335          -2.489299e+02 1.205913e+02 2.051025e+03 -2.498513e+02 1.170374e+02 2.095169e+03 9.213946e-01 3.553928e+00 -4.414421e+01
0.34           -2.497579e+02 1.209326e+02 2.059445e+03 -2.506534e+02 1.174572e+02 2.102558e+03 8.955235e-01 3.475424e+00 -4.311258e+01
0.345          -2.504440e+02 1.212129e+02 2.066175e+03 -2.513147e+02 1.178141e+02 2.108280e+03 8.707638e-01 3.398732e+00 -4.210492e+01
0.35           -2.511842e+02 1.214694e+02 2.073315e+03 -2.520309e+02 1.181456e+02 2.114433e+03 8.467109e-01 3.323807e+00 -4.111739e+01
0.355          -2.518748e+02 1.217148e+02 2.080588e+03 -2.526979e+02 1.184640e+02 2.120738e+03 8.231364e-01 3.250811e+00 -4.014953e+01
0.36           -2.526705e+02 1.219992e+02 2.089637e+03 -2.534706e+02 1.188192e+02 2.128842e+03 8.001202e-01 3.179917e+00 -3.920491e+01
0.365          -2.533547e+02 1.221604e+02 2.098341e+03 -2.541325e+02 1.190495e+02 2.136624e+03 7.778550e-01 3.110892e+00 -3.828304e+01
0.37           -2.540217e+02 1.223172e+02 2.106373e+03 -2.547777e+02 1.192731e+02 2.143757e+03 7.559619e-01 3.044150e+00 -3.738414e+01
0.375          -2.546733e+02 1.224206e+02 2.115731e+03 -2.554075e+02 1.194408e+02 2.152239e+03 7.341449e-01 2.979809e+00 -3.650770e+01
0.38           -2.552366e+02 1.224930e+02 2.123150e+03 -2.559489e+02 1.195751e+02 2.158805e+03 7.123356e-01 2.917928e+00 -3.565508e+01
0.385          -2.561549e+02 1.227234e+02 2.135688e+03 -2.568449e+02 1.198647e+02 2.170510e+03 6.899635e-01 2.858766e+00 -3.482199e+01
0.39           -2.567514e+02 1.228272e+02 2.143735e+03 -2.574175e+02 1.200243e+02 2.177737e+03 6.661571e-01 2.802836e+00 -3.400116e+01
0.395          -2.576799e+02 1.230730e+02 2.156013e+03 -2.583218e+02 1.203236e+02 2.189212e+03 6.419280e-01 2.749385e+00 -3.319985e+01
0.4            -2.581636e+02 1.231276e+02 2.162604e+03 -2.587813e+02 1.204296e+02 2.195024e+03 6.177703e-01 2.698031e+00 -3.241979e+01
0.405          -2.587880e+02 1.232514e+02 2.170981e+03 -2.593821e+02 1.206029e+02 2.202644e+03 5.940811e-01 2.648532e+00 -3.166340e+01
0.41           -2.594957e+02 1.234096e+02 2.179843e+03 -2.600668e+02 1.208091e+02 2.210773e+03 5.711015e-01 2.600514e+00 -3.093008e+01
0.415          -2.601017e+02 1.235427e+02 2.187409e+03 -2.606509e+02 1.209889e+02 2.217629e+03 5.491198e-01 2.553778e+00 -3.022087e+01
0.42           -2.601754e+02 1.234415e+02 2.189278e+03 -2.607036e+02 1.209332e+02 2.218813e+03 5.281731e-01 2.508289e+00 -2.953565e+01
0.425          -2.609852e+02 1.237040e+02 2.199125e+03 -2.614928e+02 1.212398e+02 2.227991e+03 5.075783e-01 2.464185e+00 -2.886575e+01
0.43           -2.615463e+02 1.238869e+02 2.205427e+03 -2.620339e+02 1.214658e+02 2.233638e+03 4.876268e-01 2.421061e+00 -2.821178e+01
0.435          -2.620329e+02 1.240289e+02 2.211210e+03 -2.625011e+02 1.216502e+02 2.238781e+03 4.682552e-01 2.378781e+00 -2.757133e+01
0.44           -2.626157e+02 1.241780e+02 2.218360e+03 -2.630651e+02 1.218411e+02 2.245300e+03 4.494008e-01 2.336879e+00 -2.694022e+01
0.445          -2.630205e+02 1.242535e+02 2.223383e+03 -2.634517e+02 1.219580e+02 2.249704e+03 4.311919e-01 2.295429e+00 -2.632121e+01
0.45           -2.635288e+02 1.244130e+02 2.229758e+03 -2.639424e+02 1.221584e+02 2.255472e+03 4.135205e-01 2.254545e+00 -2.571415e+01
0.455          -2.637961e+02 1.244350e+02 2.233642e+03 -2.641926e+02 1.222207e+02 2.258763e+03 3.964130e-01 2.214353e+00 -2.512164e+01
0.46           -2.642405e+02 1.245454e+02 2.239252e+03 -2.646196e+02 1.223703e+02 2.263787e+03 3.790983e-01 2.175135e+00 -2.453593e+01
0.465          -2.646997e+02 1.246598e+02 2.244710e+03 -2.650610e+02 1.225230e+02 2.268662e+03 3.612969e-01 2.136808e+00 -2.395209e+01
0.47           -2.651372e+02 1.247419e+02 2.250963e+03 -2.654814e+02 1.226426e+02 2.274349e+03 3.442026e-01 2.099293e+00 -2.338575e+01
0.475          -2.655877e+02 1.248823e+02 2.255629e+03 -2.659148e+02 1.228200e+02 2.278454e+03 3.270764e-01 2.062315e+00 -2.282466e+01
0.48           -2.664367e+02 1.251814e+02 2.265710e+03 -2.667468e+02 1.231557e+02 2.287979e+03 3.100750e-01 2.025709e+00 -2.226945e+01
0.485          -2.670852e+02 1.253976e+02 2.272747e+03 -2.673786e+02 1.234083e+02 2.294468e+03 2.933575e-01 1.989369e+00 -2.172114e+01
0.49           -2.676914e+02 1.256009e+02 2.280101e+03 -2.679685e+02 1.236476e+02 2.301284e+03 2.771517e-01 1.953330e+00 -2.118300e+01
0.495          -2.682190e+02 1.257504e+02 2.286234e+03 -2.684807e+02 1.238329e+02 2.306891e+03 2.617328e-01 1.917474e+00 -2.065731e+01
0.5            -2.687450e+02 1.259218e+02 2.292481e+03 -2.689913e+02 1.240394e+02 2.312619e+03 2.462375e-01 1.882327e+00 -2.013831e+01
0.505          -2.693311e+02 1.261086e+02 2.299614e+03 -2.695623e+02 1.242609e+02 2.319245e+03 2.312380e-01 1.847624e+00 -1.963062e+01
0.51           -2.698332e+02 1.262441e+02 2.305547e+03 -2.700499e+02 1.244307e+02 2.324679e+03 2.166518e-01 1.813352e+00 -1.913291e+01
0.515          -2.703327e+02 1.263752e+02 2.311899e+03 -2.705352e+02 1.245956e+02 2.330545e+03 2.024856e-01 1.779573e+00 -1.864601e+01
0.52           -2.707536e+02 1.264560e+02 2.316943e+03 -2.709424e+02 1.247097e+02 2.335114e+03 1.887921e-01 1.746378e+00 -1.817145e+01
0.525          -2.712649e+02 1.265974e+02 2.323158e+03 -2.714405e+02 1.248836e+02 2.340868e+03 1.756247e-01 1.713825e+00 -1.771053e+01
0.53           -2.716891e+02 1.267029e+02 2.328103e+03 -2.718523e+02 1.250210e+02 2.345369e+03 1.632076e-01 1.681918e+00 -1.726666e+01
0.535          -2.723428e+02 1.269073e+02 2.335794e+03 -2.724937e+02 1.252562e+02 2.352628e+03 1.508755e-01 1.651146e+00 -1.683420e+01
0.54           -2.728207e+02 1.270368e+02 2.341461e+03 -2.729595e+02 1.254156e+02 2.357875e+03 1.388714e-01 1.621235e+00 -1.641466e+01
0.545          -2.730206e+02 1.270267e+02 2.344111e+03 -2.731480e+02 1.254345e+02 2.360121e+03 1.273470e-01 1.592176e+00 -1.600947e+01
0.55           -2.735634e+02 1.271802e+02 2.350791e+03 -2.736791e+02 1.256160e+02 2.366406e+03 1.157329e-01 1.564188e+00 -1.561458e+01
0.555          -2.740912e+02 1.273340e+02 2.356768e+03 -2.741956e+02 1.257969e+02 2.372001e+03 1.044800e-01 1.537028e+00 -1.523275e+01
0.56           -2.745422e+02 1.274888e+02 2.362191e+03 -2.746357e+02 1.259781e+02 2.377054e+03 9.350327e-02 1.510743e+00 -1.486318e+01
0.565          -2.750633e+02 1.276517e+02 2.368596e+03 -2.751457e+02 1.261664e+02 2.383095e+03 8.238834e-02 1.485345e+00 -1.449886e+01
0.57           -2.757860e+02 1.279227e+02 2.376827e+03 -2.758576e+02 1.264622e+02 2.390970e+03 7.160964e-02 1.460428e+00 -1.414313e+01
0.575          -2.763019e+02 1.280887e+02 2.382944e+03 -2.763632e+02 1.266528e+02 2.396739e+03 6.124418e-02 1.435819e+00 -1.379526e+01
0.58           -2.770539e+02 1.283793e+02 2.391295e+03 -2.771053e+02 1.269678e+02 2.404750e+03 5.138535e-02 1.411429e+00 -1.345568e+01
0.585          -2.775865e+02 1.285679e+02 2.397326e+03 -2.776285e+02 1.271807e+02 2.410450e+03 4.205612e-02 1.387211e+00 -1.312394e+01
0.59           -2.782598e+02 1.288259e+02 2.405032e+03 -2.782932e+02 1.274626e+02 2.417835e+03 3.336092e-02 1.363258e+00 -1.280219e+01
0.595          -2.790085e+02 1.291307e+02 2.413117e+03 -2.790339e+02 1.277912e+02 2.425609e+03 2.543299e-02 1.339536e+00 -1.249212e+01
0.6            -2.795241e+02 1.293121e+02 2.419655e+03 -2.795416e+02 1.279956e+02 2.431841e+03 1.747759e-02 1.316465e+00 -1.218565e+01
0.605          -2.801845e+02 1.295653e+02 2.427174e+03 -2.801943e+02 1.282714e+02 2.439061e+03 9.839213e-03 1.293888e+00 -1.188661e+01
0.61           -2.808974e+02 1.298470e+02 2.436164e+03 -2.808999e+02 1.285751e+02 2.447759e+03 2.443913e-03 1.271894e+00 -1.159477e+01
0.615          -2.815337e+02 1.300891e+02 2.443900e+03 -2.815289e+02 1.288386e+02 2.455208e+03 -4.790255e-03 1.250454e+00 -1.130874e+01
0.62           -2.822563e+02 1.303746e+02 2.452821e+03 -2.822444e+02 1.291452e+02 2.463849e+03 -1.188839e-02 1.229452e+00 -1.102746e+01
0.625          -2.829358e+02 1.306469e+02 2.460974e+03 -2.829169e+02 1.294381e+02 2.471725e+03 -1.884965e-02 1.208788e+00 -1.075006e+01
0.63           -2.837120e+02 1.309436e+02 2.470524e+03 -2.836865e+02 1.297554e+02 2.481003e+03 -2.545366e-02 1.188248e+00 -1.047857e+01
0.635          -2.842482e+02 1.311516e+02 2.477610e+03 -2.842159e+02 1.299834e+02 2.487817e+03 -3.232739e-02 1.168201e+00 -1.020754e+01
