# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
7.1001         2.635631e+02 6.145401e+02 7.995212e-17 2.629898e+02 6.134048e+02 7.990716e-17 5.732555e-01 1.135348e+00 4.496546e-20
7.1002         2.993036e+02 6.595853e+02 5.435117e-17 2.987116e+02 6.584453e+02 5.429483e-17 5.919165e-01 1.139990e+00 5.633707e-20
7.1003         3.139046e+02 6.808275e+02 4.683817e-17 3.133018e+02 6.796805e+02 4.677820e-17 6.027977e-01 1.147016e+00 5.997384e-20
7.1004         3.221858e+02 6.947738e+02 4.648591e-17 3.215756e+02 6.936194e+02 4.642498e-17 6.101251e-01 1.154411e+00 6.092840e-20
7.1005         3.280505e+02 7.051209e+02 4.643908e-17 3.274349e+02 7.039591e+02 4.637809e-17 6.156046e-01 1.161765e+00 6.098154e-20
7.1006         3.328813e+02 7.138079e+02 4.624728e-17 3.322614e+02 7.126391e+02 4.618673e-17 6.199017e-01 1.168781e+00 6.054631e-20
7.1007         3.366703e+02 7.207162e+02 4.613256e-17 3.360470e+02 7.195409e+02 4.607274e-17 6.233332e-01 1.175329e+00 5.981147e-20
7.1008         3.395906e+02 7.264025e+02 4.604974e-17 3.389645e+02 7.252211e+02 4.599083e-17 6.261027e-01 1.181376e+00 5.890290e-20
7.1009         3.418515e+02 7.308800e+02 4.608851e-17 3.412231e+02 7.296931e+02 4.603061e-17 6.283476e-01 1.186944e+00 5.790438e-20
7.101          3.436778e+02 7.346016e+02 4.585438e-17 3.430476e+02 7.334096e+02 4.579751e-17 6.301726e-01 1.192069e+00 5.686681e-20
7.1011         3.450555e+02 7.374641e+02 4.585223e-17 3.444238e+02 7.362673e+02 4.579640e-17 6.316555e-01 1.196792e+00 5.582809e-20
7.1012         3.461173e+02 7.397274e+02 4.583587e-17 3.454845e+02 7.385262e+02 4.578106e-17 6.328548e-01 1.201156e+00 5.480463e-20
7.1013         3.469614e+02 7.415718e+02 4.579265e-17 3.463276e+02 7.403666e+02 4.573884e-17 6.338166e-01 1.205200e+00 5.380583e-20
7.1014         3.475826e+02 7.429730e+02 4.578187e-17 3.469480e+02 7.417640e+02 4.572903e-17 6.345773e-01 1.208963e+00 5.284211e-20
7.1015         3.480459e+02 7.440531e+02 4.572364e-17 3.474108e+02 7.428406e+02 4.567172e-17 6.351655e-01 1.212474e+00 5.191123e-20
7.1016         3.483471e+02 7.448319e+02 4.571397e-17 3.477115e+02 7.436162e+02 4.566296e-17 6.356039e-01 1.215761e+00 5.101501e-20
7.1017         3.487459e+02 7.457567e+02 4.566252e-17 3.481100e+02 7.445379e+02 4.561237e-17 6.359107e-01 1.218848e+00 5.015215e-20
7.1018         3.488732e+02 7.461772e+02 4.568954e-17 3.482371e+02 7.449554e+02 4.564021e-17 6.361010e-01 1.221755e+00 4.932738e-20
7.1019         3.490984e+02 7.467166e+02 4.562970e-17 3.484622e+02 7.454921e+02 4.558116e-17 6.361894e-01 1.224497e+00 4.853688e-20
7.102          3.492374e+02 7.471123e+02 4.562583e-17 3.486012e+02 7.458852e+02 4.557805e-17 6.361854e-01 1.227090e+00 4.778032e-20
7.1021         3.494117e+02 7.475575e+02 4.560734e-17 3.487756e+02 7.463280e+02 4.556028e-17 6.360986e-01 1.229547e+00 4.705463e-20
