# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
7.10001        -5.743487e+02 -7.095040e+02 3.845727e-16 -5.749236e+02 -7.106387e+02 3.845149e-16 5.749029e-01 1.134736e+00 5.780761e-20
7.10002        -2.068002e+02 -2.379362e+02 1.232693e-16 -2.073952e+02 -2.390752e+02 1.231999e-16 5.950269e-01 1.138973e+00 6.943430e-20
7.10003        -6.100378e+01 -2.108671e+01 5.827959e-17 -6.161114e+01 -2.223234e+01 5.820638e-17 6.073540e-01 1.145627e+00 7.321137e-20
7.10004        2.428487e+01 1.265053e+02 5.949856e-17 2.366869e+01 1.253526e+02 5.942417e-17 6.161880e-01 1.152765e+00 7.438348e-20
7.10005        8.870738e+01 2.408303e+02 5.930111e-17 8.808418e+01 2.396704e+02 5.922643e-17 6.232071e-01 1.159918e+00 7.467925e-20
7.10006        1.409856e+02 3.360105e+02 5.779102e-17 1.403566e+02 3.348437e+02 5.771655e-17 6.290486e-01 1.166754e+00 7.446654e-20
7.10007        1.800535e+02 4.081309e+02 5.691887e-17 1.794195e+02 4.069577e+02 5.684492e-17 6.340272e-01 1.173130e+00 7.395397e-20
7.10008        2.114955e+02 4.698769e+02 5.689705e-17 2.108571e+02 4.686978e+02 5.682380e-17 6.383408e-01 1.179017e+00 7.324630e-20
7.10009        2.344216e+02 5.156023e+02 5.790770e-17 2.337795e+02 5.144179e+02 5.783525e-17 6.421276e-01 1.184434e+00 7.245046e-20
7.1001         2.540361e+02 5.555671e+02 5.818745e-17 2.533906e+02 5.543777e+02 5.811584e-17 6.454917e-01 1.189420e+00 7.161021e-20
7.10011        2.671745e+02 5.831798e+02 5.860016e-17 2.665260e+02 5.819858e+02 5.852939e-17 6.485091e-01 1.194015e+00 7.076938e-20
7.10012        2.775953e+02 6.046901e+02 5.813454e-17 2.769441e+02 6.034919e+02 5.806461e-17 6.512404e-01 1.198260e+00 6.993469e-20
7.10013        2.848646e+02 6.203342e+02 5.769667e-17 2.842109e+02 6.191320e+02 5.762755e-17 6.537292e-01 1.202195e+00 6.911736e-20
7.10014        2.898345e+02 6.313226e+02 5.692151e-17 2.891785e+02 6.301167e+02 5.685319e-17 6.560093e-01 1.205856e+00 6.831638e-20
7.10015        2.944336e+02 6.418878e+02 5.614259e-17 2.937755e+02 6.406786e+02 5.607506e-17 6.581076e-01 1.209272e+00 6.752992e-20
7.10016        2.970027e+02 6.481001e+02 5.521155e-17 2.963427e+02 6.468876e+02 5.514479e-17 6.600451e-01 1.212472e+00 6.676361e-20
7.10017        2.995821e+02 6.544174e+02 5.488899e-17 2.989203e+02 6.532019e+02 5.482298e-17 6.618410e-01 1.215476e+00 6.601108e-20
