# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
7.1001         -3.072701e+02 1.317815e+02 3.020439e+03 -3.067024e+02 1.314949e+02 3.016420e+03 -5.676740e-01 2.866277e-01 4.019167e+00
7.1002         -3.297927e+02 1.496518e+02 3.222575e+03 -3.292227e+02 1.493558e+02 3.218622e+03 -5.699951e-01 2.959582e-01 3.953713e+00
7.1003         -3.404138e+02 1.569523e+02 3.337175e+03 -3.398402e+02 1.566509e+02 3.333238e+03 -5.735078e-01 3.013989e-01 3.936702e+00
7.1004         -3.473869e+02 1.610929e+02 3.419002e+03 -3.468097e+02 1.607878e+02 3.415064e+03 -5.772057e-01 3.050626e-01 3.938203e+00
7.1005         -3.525604e+02 1.640252e+02 3.478020e+03 -3.519796e+02 1.637174e+02 3.474072e+03 -5.808823e-01 3.078023e-01 3.948084e+00
7.1006         -3.569040e+02 1.664406e+02 3.524114e+03 -3.563196e+02 1.661307e+02 3.520152e+03 -5.843907e-01 3.099508e-01 3.961843e+00
7.1007         -3.603581e+02 1.683352e+02 3.558748e+03 -3.597704e+02 1.680235e+02 3.554771e+03 -5.876643e-01 3.116666e-01 3.977378e+00
7.1008         -3.632013e+02 1.697953e+02 3.587582e+03 -3.626106e+02 1.694822e+02 3.583589e+03 -5.906881e-01 3.130513e-01 3.993608e+00
7.1009         -3.654400e+02 1.709257e+02 3.610155e+03 -3.648465e+02 1.706116e+02 3.606145e+03 -5.934721e-01 3.141738e-01 4.009987e+00
7.101          -3.673008e+02 1.718389e+02 3.629178e+03 -3.667048e+02 1.715238e+02 3.625152e+03 -5.960344e-01 3.150863e-01 4.026200e+00
7.1011         -3.687320e+02 1.725278e+02 3.643873e+03 -3.681336e+02 1.722119e+02 3.639831e+03 -5.983960e-01 3.158277e-01 4.042082e+00
7.1012         -3.698637e+02 1.730587e+02 3.655742e+03 -3.692631e+02 1.727422e+02 3.651685e+03 -6.005778e-01 3.164274e-01 4.057560e+00
7.1013         -3.707859e+02 1.734807e+02 3.665704e+03 -3.701833e+02 1.731638e+02 3.661631e+03 -6.026002e-01 3.169083e-01 4.072615e+00
7.1014         -3.714865e+02 1.737913e+02 3.673420e+03 -3.708820e+02 1.734740e+02 3.669333e+03 -6.044813e-01 3.172886e-01 4.087246e+00
