# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
7.10001        3.547520e+02 -2.871743e+02 -3.731997e+03 3.553194e+02 -2.874618e+02 -3.736005e+03 -5.673681e-01 2.874514e-01 4.008174e+00
7.10002        1.189681e+02 -1.034001e+02 -1.611131e+03 1.195376e+02 -1.036976e+02 -1.615065e+03 -5.694864e-01 2.975135e-01 3.933588e+00
7.10003        1.054336e+01 -3.050189e+01 -4.281706e+02 1.111617e+01 -3.080557e+01 -4.320783e+02 -5.728136e-01 3.036770e-01 3.907713e+00
7.10004        -6.325267e+01 1.214244e+01 4.397993e+02 -6.267629e+01 1.183434e+01 4.358987e+02 -5.763825e-01 3.080940e-01 3.900605e+00
7.10005        -1.204152e+02 4.435369e+01 1.082080e+03 -1.198352e+02 4.404209e+01 1.078178e+03 -5.799588e-01 3.116036e-01 3.902017e+00
7.10006        -1.680052e+02 7.049281e+01 1.579559e+03 -1.674219e+02 7.017829e+01 1.575651e+03 -5.833771e-01 3.145243e-01 3.907400e+00
7.10007        -2.040654e+02 9.002676e+01 1.939129e+03 -2.034789e+02 8.970975e+01 1.935214e+03 -5.865651e-01 3.170136e-01 3.914614e+00
7.10008        -2.349384e+02 1.057477e+02 2.252874e+03 -2.343489e+02 1.054286e+02 2.248951e+03 -5.895083e-01 3.191704e-01 3.922607e+00
7.10009        -2.578012e+02 1.172108e+02 2.479860e+03 -2.572089e+02 1.168898e+02 2.475929e+03 -5.922170e-01 3.210638e-01 3.930823e+00
7.1001         -2.777836e+02 1.270180e+02 2.682476e+03 -2.771889e+02 1.266953e+02 2.678537e+03 -5.947098e-01 3.227458e-01 3.938953e+00
7.10011        -2.915899e+02 1.335873e+02 2.822955e+03 -2.909929e+02 1.332630e+02 2.819008e+03 -5.970074e-01 3.242546e-01 3.946836e+00
7.10012        -3.023451e+02 1.387977e+02 2.933766e+03 -3.017459e+02 1.384720e+02 2.929812e+03 -5.991302e-01 3.256202e-01 3.954380e+00
7.10013        -3.101671e+02 1.424323e+02 3.017674e+03 -3.095660e+02 1.421054e+02 3.013712e+03 -6.010976e-01 3.268646e-01 3.961563e+00
7.10014        -3.156613e+02 1.449173e+02 3.076859e+03 -3.150584e+02 1.445893e+02 3.072890e+03 -6.029278e-01 3.280047e-01 3.968400e+00
7.10015        -3.209439e+02 1.472168e+02 3.137702e+03 -3.203393e+02 1.468877e+02 3.133727e+03 -6.046362e-01 3.290538e-01 3.974917e+00
7.10016        -3.240500e+02 1.485014e+02 3.173650e+03 -3.234438e+02 1.481713e+02 3.169669e+03 -6.062359e-01 3.300226e-01 3.981140e+00
7.10017        -3.272087e+02 1.497911e+02 3.209674e+03 -3.266010e+02 1.494601e+02 3.205687e+03 -6.077382e-01 3.309205e-01 3.987089e+00
7.10018        -3.295991e+02 1.507955e+02 3.235342e+03 -3.289900e+02 1.504637e+02 3.231350e+03 -6.091521e-01 3.317568e-01 3.992764e+00
7.10019        -3.320679e+02 1.518152e+02 3.263169e+03 -3.314574e+02 1.514826e+02 3.259171e+03 -6.104851e-01 3.325395e-01 3.998164e+00
7.1002         -3.337715e+02 1.525227e+02 3.281480e+03 -3.331598e+02 1.521894e+02 3.277476e+03 -6.117441e-01 3.332754e-01 4.003291e+00
7.10021        -3.357130e+02 1.533827e+02 3.302543e+03 -3.351001e+02 1.530488e+02 3.298535e+03 -6.129350e-01 3.339700e-01 4.008150e+00
7.10022        -3.376118e+02 1.541999e+02 3.323796e+03 -3.369977e+02 1.538652e+02 3.319783e+03 -6.140633e-01 3.346281e-01 4.012753e+00
7.10023        -3.394255e+02 1.550658e+02 3.343595e+03 -3.388104e+02 1.547305e+02 3.339577e+03 -6.151339e-01 3.352542e-01 4.017103e+00
7.10024        -3.414514e+02 1.560066e+02 3.366119e+03 -3.408352e+02 1.556707e+02 3.362098e+03 -6.161512e-01 3.358513e-01 4.021217e+00
7.10025        -3.430294e+02 1.567976e+02 3.383200e+03 -3.424123e+02 1.564612e+02 3.379175e+03 -6.171196e-01 3.364227e-01 4.025107e+00
7.10026        -3.444868e+02 1.574703e+02 3.399323e+03 -3.438687e+02 1.571333e+02 3.395294e+03 -6.180420e-01 3.369702e-01 4.028785e+00
7.10027        -3.465310e+02 1.585533e+02 3.421443e+03 -3.459120e+02 1.582158e+02 3.417411e+03 -6.189202e-01 3.374950e-01 4.032254e+00
7.10028        -3.480489e+02 1.593354e+02 3.438078e+03 -3.474292e+02 1.589974e+02 3.434043e+03 -6.197596e-01 3.380001e-01 4.035542e+00
7.10029        -3.491027e+02 1.598148e+02 3.449870e+03 -3.484821e+02 1.594763e+02 3.445832e+03 -6.205629e-01 3.384867e-01 4.038665e+00
7.1003         -3.503597e+02 1.604541e+02 3.463659e+03 -3.497383e+02 1.601151e+02 3.459618e+03 -6.213327e-01 3.389559e-01 4.041635e+00
7.10031        -3.516386e+02 1.611723e+02 3.477299e+03 -3.510165e+02 1.608329e+02 3.473255e+03 -6.220713e-01 3.394090e-01 4.044466e+00
7.10032        -3.529448e+02 1.618566e+02 3.491505e+03 -3.523220e+02 1.615168e+02 3.487458e+03 -6.227810e-01 3.398464e-01 4.047172e+00
7.10033        -3.542637e+02 1.625201e+02 3.505811e+03 -3.536402e+02 1.621799e+02 3.501761e+03 -6.234636e-01 3.402691e-01 4.049765e+00
7.10034        -3.551740e+02 1.630415e+02 3.515100e+03 -3.545499e+02 1.627008e+02 3.511047e+03 -6.241209e-01 3.406778e-01 4.052253e+00
7.10035        -3.563117e+02 1.636845e+02 3.526794e+03 -3.556870e+02 1.633434e+02 3.522739e+03 -6.247545e-01 3.410732e-01 4.054645e+00
7.10036        -3.572381e+02 1.642326e+02 3.535935e+03 -3.566128e+02 1.638911e+02 3.531878e+03 -6.253657e-01 3.414561e-01 4.056946e+00
7.10037        -3.581487e+02 1.647160e+02 3.545857e+03 -3.575227e+02 1.643741e+02 3.541798e+03 -6.259559e-01 3.418269e-01 4.059165e+00
7.10038        -3.590160e+02 1.651995e+02 3.554933e+03 -3.583895e+02 1.648574e+02 3.550872e+03 -6.265261e-01 3.421864e-01 4.061305e+00
7.10039        -3.599450e+02 1.657562e+02 3.564084e+03 -3.593179e+02 1.654136e+02 3.560021e+03 -6.270775e-01 3.425351e-01 4.063371e+00
