# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.05          	1.749636e+01	1.628577e+00	1.586778e+01	1.423920e+01	1.778254e+01	-3.543340e+00	1.066294e+01	-7.119601e+00	8.748178e+00	-8.928045e-18	8.748178e+00	-8.748178e+00
0.1           	1.441224e+01	9.510978e-01	1.346114e+01	1.251004e+01	1.658862e+01	-4.078582e+00	1.033360e+01	-6.255021e+00	7.206118e+00	-7.483581e-18	7.206118e+00	-7.206118e+00
0.15          	1.303141e+01	3.700493e-01	1.266136e+01	1.229131e+01	1.132774e+01	9.635692e-01	5.182087e+00	-6.145656e+00	6.515705e+00	-6.976535e-18	6.515705e+00	-6.515705e+00
0.2           	1.250459e+01	-3.496485e-01	1.285423e+01	1.320388e+01	9.505998e-01	1.225328e+01	-5.651342e+00	-6.601941e+00	6.252293e+00	-6.688620e-18	6.252293e+00	-6.252293e+00
0.25          	1.248873e+01	-1.106961e+00	1.359569e+01	1.470265e+01	-1.184423e+01	2.654688e+01	-1.919555e+01	-7.351325e+00	6.244364e+00	-6.493309e-18	6.244364e+00	-6.244364e+00
0.3           	1.266277e+01	-1.725285e+00	1.438805e+01	1.611334e+01	-2.251117e+01	3.862451e+01	-3.056784e+01	-8.056669e+00	6.331385e+00	-6.324496e-18	6.331385e+00	-6.331385e+00
0.35          	1.286053e+01	-2.293568e+00	1.515410e+01	1.744767e+01	-3.243286e+01	4.988053e+01	-4.115670e+01	-8.723835e+00	6.430267e+00	-6.151751e-18	6.430267e+00	-6.430267e+00
0.4           	1.291476e+01	-2.784450e+00	1.569921e+01	1.848366e+01	-4.068605e+01	5.916970e+01	-4.992787e+01	-9.241828e+00	6.457378e+00	-5.977015e-18	6.457378e+00	-6.457378e+00
0.45          	1.304428e+01	-3.315083e+00	1.635937e+01	1.967445e+01	-5.002917e+01	6.970362e+01	-5.986639e+01	-9.837225e+00	6.522142e+00	-5.823554e-18	6.522142e+00	-6.522142e+00
0.5           	1.301361e+01	-3.673216e+00	1.668683e+01	2.036005e+01	-5.557627e+01	7.593632e+01	-6.575629e+01	-1.018002e+01	6.506807e+00	-5.656768e-18	6.506807e+00	-6.506807e+00
0.55          	1.287438e+01	-3.948099e+00	1.682247e+01	2.077057e+01	-5.934600e+01	8.011657e+01	-6.973128e+01	-1.038529e+01	6.437188e+00	-5.492642e-18	6.437188e+00	-6.437188e+00
0.6           	1.275827e+01	-4.237152e+00	1.699542e+01	2.123258e+01	-6.310952e+01	8.434210e+01	-7.372581e+01	-1.061629e+01	6.379136e+00	-5.361653e-18	6.379136e+00	-6.379136e+00
0.65          	1.258945e+01	-4.466692e+00	1.705614e+01	2.152284e+01	-6.569040e+01	8.721324e+01	-7.645182e+01	-1.076142e+01	6.294726e+00	-5.272055e-18	6.294726e+00	-6.294726e+00
0.7           	1.247253e+01	-4.697016e+00	1.716954e+01	2.186656e+01	-6.844968e+01	9.031624e+01	-7.938296e+01	-1.093328e+01	6.236263e+00	-5.212096e-18	6.236263e+00	-6.236263e+00
0.75          	1.235926e+01	-4.896015e+00	1.725527e+01	2.215129e+01	-7.073142e+01	9.288271e+01	-8.180707e+01	-1.107564e+01	6.179629e+00	-5.159999e-18	6.179629e+00	-6.179629e+00
0.8           	1.227173e+01	-5.047926e+00	1.731966e+01	2.236758e+01	-7.241131e+01	9.477889e+01	-8.359510e+01	-1.118379e+01	6.135866e+00	-5.125466e-18	6.135866e+00	-6.135866e+00
0.85          	1.224176e+01	-5.182241e+00	1.742400e+01	2.260625e+01	-7.402974e+01	9.663599e+01	-8.533287e+01	-1.130312e+01	6.120882e+00	-5.080686e-18	6.120882e+00	-6.120882e+00
0.9           	1.220373e+01	-5.297362e+00	1.750109e+01	2.279845e+01	-7.542593e+01	9.822438e+01	-8.682516e+01	-1.139923e+01	6.101865e+00	-5.051765e-18	6.101865e+00	-6.101865e+00
0.95          	1.216590e+01	-5.389645e+00	1.755555e+01	2.294519e+01	-7.646695e+01	9.941214e+01	-8.793954e+01	-1.147260e+01	6.082951e+00	-5.007627e-18	6.082951e+00	-6.082951e+00
1             	1.217319e+01	-5.484552e+00	1.765774e+01	2.314229e+01	-7.784543e+01	1.009877e+02	-8.941657e+01	-1.157115e+01	6.086595e+00	-4.970919e-18	6.086595e+00	-6.086595e+00
1.05          	1.219734e+01	-5.580746e+00	1.777809e+01	2.335883e+01	-7.935772e+01	1.027166e+02	-9.103714e+01	-1.167942e+01	6.098671e+00	-4.932901e-18	6.098671e+00	-6.098671e+00
1.1           	1.222086e+01	-5.674863e+00	1.789572e+01	2.357058e+01	-8.080352e+01	1.043741e+02	-9.258882e+01	-1.178529e+01	6.110428e+00	-4.901803e-18	6.110428e+00	-6.110428e+00
1.15          	1.223489e+01	-5.767088e+00	1.800198e+01	2.376907e+01	-8.213640e+01	1.059055e+02	-9.402094e+01	-1.188453e+01	6.117447e+00	-4.892118e-18	6.117447e+00	-6.117447e+00
1.2           	1.228287e+01	-5.879974e+00	1.816284e+01	2.404281e+01	-8.393279e+01	1.079756e+02	-9.595420e+01	-1.202141e+01	6.141433e+00	-4.887960e-18	6.141433e+00	-6.141433e+00
1.25          	1.231017e+01	-5.986053e+00	1.829622e+01	2.428228e+01	-8.549535e+01	1.097776e+02	-9.763648e+01	-1.214114e+01	6.155085e+00	-4.901626e-18	6.155085e+00	-6.155085e+00
1.3           	1.231394e+01	-6.082939e+00	1.839688e+01	2.447982e+01	-8.681357e+01	1.112934e+02	-9.905348e+01	-1.223991e+01	6.156971e+00	-4.908257e-18	6.156971e+00	-6.156971e+00
1.35          	1.235711e+01	-6.200243e+00	1.855735e+01	2.475759e+01	-8.848232e+01	1.132399e+02	-1.008611e+02	-1.237880e+01	6.178554e+00	-4.933072e-18	6.178554e+00	-6.178554e+00
1.4           	1.237149e+01	-6.303037e+00	1.867453e+01	2.497757e+01	-8.985442e+01	1.148320e+02	-1.023432e+02	-1.248878e+01	6.185746e+00	-4.961791e-18	6.185746e+00	-6.185746e+00
1.45          	1.237420e+01	-6.389431e+00	1.876363e+01	2.515306e+01	-9.090403e+01	1.160571e+02	-1.034806e+02	-1.257653e+01	6.187100e+00	-4.980325e-18	6.187100e+00	-6.187100e+00
1.5           	1.241966e+01	-6.487232e+00	1.890689e+01	2.539412e+01	-9.226521e+01	1.176593e+02	-1.049623e+02	-1.269706e+01	6.209828e+00	-5.001155e-18	6.209828e+00	-6.209828e+00
1.55          	1.247065e+01	-6.579320e+00	1.904997e+01	2.562928e+01	-9.363071e+01	1.192600e+02	-1.064454e+02	-1.281464e+01	6.235323e+00	-5.008023e-18	6.235323e+00	-6.235323e+00
1.6           	1.248923e+01	-6.643904e+00	1.913313e+01	2.577704e+01	-9.446900e+01	1.202460e+02	-1.073575e+02	-1.288852e+01	6.244615e+00	-5.013874e-18	6.244615e+00	-6.244615e+00
1.65          	1.253449e+01	-6.716332e+00	1.925082e+01	2.596716e+01	-9.545341e+01	1.214206e+02	-1.084370e+02	-1.298358e+01	6.267246e+00	-5.017154e-18	6.267246e+00	-6.267246e+00
1.7           	1.256538e+01	-6.774077e+00	1.933946e+01	2.611353e+01	-9.623418e+01	1.223477e+02	-1.092909e+02	-1.305677e+01	6.282690e+00	-5.013910e-18	6.282690e+00	-6.282690e+00
1.75          	1.258978e+01	-6.824944e+00	1.941472e+01	2.623967e+01	-9.692785e+01	1.231675e+02	-1.100477e+02	-1.311983e+01	6.294889e+00	-5.006580e-18	6.294889e+00	-6.294889e+00
