# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.05           2.143304e+01 1.744302e+01 1.093685e-17 1.389844e+01 1.989400e+01 1.173283e-17 7.534597e+00 -2.450977e+00 -7.959754e-19
0.1            1.765499e+01 1.532480e+01 9.167387e-18 1.192241e+01 1.726972e+01 9.951007e-18 5.732580e+00 -1.944922e+00 -7.836200e-19
0.15           1.596348e+01 1.505686e+01 8.546256e-18 1.131402e+01 1.669391e+01 9.308060e-18 4.649456e+00 -1.637051e+00 -7.618042e-19
0.2            1.531812e+01 1.617476e+01 8.193560e-18 1.136324e+01 1.758213e+01 8.922842e-18 3.954873e+00 -1.407378e+00 -7.292821e-19
0.25           1.529869e+01 1.801075e+01 7.954303e-18 1.183129e+01 1.924252e+01 8.633593e-18 3.467400e+00 -1.231770e+00 -6.792898e-19
0.3            1.551189e+01 1.973884e+01 7.747508e-18 1.240002e+01 2.082803e+01 8.377909e-18 3.111871e+00 -1.089185e+00 -6.304016e-19
0.35           1.575416e+01 2.137340e+01 7.535894e-18 1.292165e+01 2.232196e+01 8.121477e-18 2.832501e+00 -9.485592e-01 -5.855828e-19
0.4            1.582058e+01 2.264248e+01 7.321843e-18 1.321648e+01 2.344727e+01 7.874732e-18 2.604095e+00 -8.047896e-01 -5.528889e-19
0.45           1.597925e+01 2.410120e+01 7.133853e-18 1.356001e+01 2.477506e+01 7.658925e-18 2.419240e+00 -6.738567e-01 -5.250716e-19
0.5            1.594168e+01 2.494106e+01 6.929541e-18 1.367643e+01 2.550659e+01 7.431718e-18 2.265243e+00 -5.655295e-01 -5.021768e-19
0.55           1.577111e+01 2.544395e+01 6.728486e-18 1.364475e+01 2.592219e+01 7.207413e-18 2.126363e+00 -4.782420e-01 -4.789271e-19
0.6            1.562888e+01 2.600991e+01 6.568024e-18 1.363045e+01 2.642312e+01 7.021872e-18 1.998428e+00 -4.132194e-01 -4.538478e-19
0.65           1.542208e+01 2.636547e+01 6.458267e-18 1.354062e+01 2.673135e+01 6.887719e-18 1.881462e+00 -3.658743e-01 -4.294520e-19
0.7            1.527884e+01 2.678653e+01 6.384817e-18 1.350313e+01 2.711711e+01 6.787740e-18 1.775712e+00 -3.305786e-01 -4.029229e-19
0.75           1.514009e+01 2.713533e+01 6.320999e-18 1.346012e+01 2.743827e+01 6.695930e-18 1.679975e+00 -3.029402e-01 -3.749314e-19
0.8            1.503287e+01 2.740029e+01 6.278696e-18 1.343864e+01 2.768059e+01 6.626339e-18 1.594231e+00 -2.802949e-01 -3.476431e-19
0.85           1.499616e+01 2.769265e+01 6.223841e-18 1.347803e+01 2.795324e+01 6.543491e-18 1.518134e+00 -2.605913e-01 -3.196500e-19
0.9            1.494957e+01 2.792811e+01 6.188413e-18 1.349972e+01 2.817102e+01 6.485399e-18 1.449851e+00 -2.429172e-01 -2.969862e-19
0.95           1.490323e+01 2.810786e+01 6.134344e-18 1.351494e+01 2.833304e+01 6.409884e-18 1.388286e+00 -2.251845e-01 -2.755402e-19
1              1.491216e+01 2.834931e+01 6.089376e-18 1.357963e+01 2.855715e+01 6.345349e-18 1.332532e+00 -2.078379e-01 -2.559735e-19
1.05           1.494174e+01 2.861457e+01 6.042804e-18 1.365960e+01 2.880490e+01 6.278351e-18 1.282148e+00 -1.903256e-01 -2.355469e-19
1.1            1.497055e+01 2.887396e+01 6.004709e-18 1.373490e+01 2.904727e+01 6.220496e-18 1.235653e+00 -1.733101e-01 -2.157873e-19
1.15           1.498775e+01 2.911711e+01 5.992845e-18 1.379604e+01 2.927401e+01 6.188636e-18 1.191708e+00 -1.568957e-01 -1.957914e-19
1.2            1.504651e+01 2.945245e+01 5.987751e-18 1.389674e+01 2.959427e+01 6.161676e-18 1.149775e+00 -1.418201e-01 -1.739251e-19
1.25           1.507996e+01 2.974579e+01 6.004491e-18 1.396991e+01 2.987254e+01 6.158602e-18 1.110044e+00 -1.267494e-01 -1.541108e-19
1.3            1.508458e+01 2.998778e+01 6.012615e-18 1.401290e+01 3.010067e+01 6.149206e-18 1.071675e+00 -1.128935e-01 -1.365908e-19
1.35           1.513746e+01 3.032805e+01 6.043014e-18 1.410235e+01 3.042804e+01 6.164017e-18 1.035108e+00 -9.998747e-02 -1.210038e-19
1.4            1.515508e+01 3.059752e+01 6.078194e-18 1.415456e+01 3.068408e+01 6.188047e-18 1.000513e+00 -8.655848e-02 -1.098530e-19
1.45           1.515840e+01 3.081250e+01 6.100898e-18 1.419037e+01 3.088583e+01 6.199916e-18 9.680300e-01 -7.333296e-02 -9.901803e-20
1.5            1.521408e+01 3.110780e+01 6.126415e-18 1.427687e+01 3.116896e+01 6.215030e-18 9.372044e-01 -6.116163e-02 -8.861460e-20
1.55           1.527654e+01 3.139587e+01 6.134828e-18 1.436830e+01 3.144539e+01 6.214250e-18 9.082438e-01 -4.951840e-02 -7.942140e-20
1.6            1.529931e+01 3.157687e+01 6.141995e-18 1.441808e+01 3.161520e+01 6.214073e-18 8.812272e-01 -3.832788e-02 -7.207801e-20
1.65           1.535475e+01 3.180977e+01 6.146014e-18 1.449919e+01 3.183811e+01 6.211370e-18 8.555580e-01 -2.834248e-02 -6.535604e-20
1.7            1.539259e+01 3.198908e+01 6.142039e-18 1.456124e+01 3.200796e+01 6.203637e-18 8.313453e-01 -1.888229e-02 -6.159792e-20
1.75           1.542248e+01 3.214359e+01 6.133061e-18 1.461400e+01 3.215370e+01 6.192876e-18 8.084786e-01 -1.011045e-02 -5.981547e-20
1.8            1.545776e+01 3.230909e+01 6.126216e-18 1.467066e+01 3.231069e+01 6.184976e-18 7.870999e-01 -1.598633e-03 -5.875993e-20
1.85           1.547041e+01 3.241729e+01 6.118388e-18 1.470425e+01 3.241249e+01 6.178720e-18 7.661687e-01 4.797149e-03 -6.033217e-20
1.9            1.551405e+01 3.259331e+01 6.113567e-18 1.476739e+01 3.258189e+01 6.174750e-18 7.466652e-01 1.141811e-02 -6.118300e-20
1.95           1.554097e+01 3.272093e+01 6.107423e-18 1.481280e+01 3.270352e+01 6.170895e-18 7.281683e-01 1.741881e-02 -6.347178e-20
2              1.560107e+01 3.292392e+01 6.100818e-18 1.489004e+01 3.290057e+01 6.166817e-18 7.110267e-01 2.334910e-02 -6.599942e-20
2.05           1.561571e+01 3.300430e+01 6.082047e-18 1.492050e+01 3.297548e+01 6.150960e-18 6.952120e-01 2.881516e-02 -6.891334e-20
2.1            1.565423e+01 3.312356e+01 6.057668e-18 1.497331e+01 3.308853e+01 6.129396e-18 6.809209e-01 3.502784e-02 -7.172811e-20
2.15           1.572145e+01 3.328481e+01 6.027446e-18 1.505391e+01 3.324424e+01 6.102002e-18 6.675322e-01 4.057030e-02 -7.455610e-20
2.2            1.578504e+01 3.343831e+01 5.996303e-18 1.513018e+01 3.339255e+01 6.073997e-18 6.548507e-01 4.575994e-02 -7.769358e-20
2.25           1.584322e+01 3.356540e+01 5.961277e-18 1.520017e+01 3.351433e+01 6.041363e-18 6.430488e-01 5.106993e-02 -8.008579e-20
2.3            1.591508e+01 3.372065e+01 5.926062e-18 1.528309e+01 3.366424e+01 6.008262e-18 6.319965e-01 5.641158e-02 -8.220023e-20
2.35           1.598301e+01 3.387244e+01 5.893241e-18 1.536176e+01 3.381101e+01 5.977870e-18 6.212435e-01 6.143017e-02 -8.462889e-20
2.4            1.603784e+01 3.400029e+01 5.859566e-18 1.542741e+01 3.393443e+01 5.946417e-18 6.104268e-01 6.586140e-02 -8.685072e-20
2.45           1.610905e+01 3.417169e+01 5.831052e-18 1.550923e+01 3.410159e+01 5.919357e-18 5.998132e-01 7.010822e-02 -8.830534e-20
2.5            1.617867e+01 3.435566e+01 5.812327e-18 1.558948e+01 3.428151e+01 5.902795e-18 5.891905e-01 7.415158e-02 -9.046812e-20
2.55           1.623221e+01 3.451465e+01 5.791382e-18 1.565387e+01 3.443693e+01 5.884712e-18 5.783430e-01 7.772432e-02 -9.333030e-20
2.6            1.628719e+01 3.469418e+01 5.779913e-18 1.571982e+01 3.461299e+01 5.876769e-18 5.673764e-01 8.118341e-02 -9.685596e-20
2.65           1.634452e+01 3.489148e+01 5.776051e-18 1.578780e+01 3.480707e+01 5.876765e-18 5.567235e-01 8.440928e-02 -1.007134e-19
2.7            1.641215e+01 3.512175e+01 5.777088e-18 1.586646e+01 3.503468e+01 5.882083e-18 5.456943e-01 8.707441e-02 -1.049953e-19
2.75           1.646206e+01 3.532442e+01 5.780479e-18 1.592742e+01 3.523451e+01 5.890767e-18 5.346350e-01 8.990829e-02 -1.102885e-19
2.8            1.651393e+01 3.553265e+01 5.782059e-18 1.599005e+01 3.543947e+01 5.896582e-18 5.238772e-01 9.317528e-02 -1.145224e-19
2.85           1.658595e+01 3.577896e+01 5.783859e-18 1.607292e+01 3.568289e+01 5.901625e-18 5.130226e-01 9.607120e-02 -1.177658e-19
2.9            1.666721e+01 3.604197e+01 5.779746e-18 1.616490e+01 3.594288e+01 5.900593e-18 5.023013e-01 9.908733e-02 -1.208468e-19
2.95           1.674472e+01 3.629122e+01 5.778675e-18 1.625286e+01 3.618871e+01 5.902598e-18 4.918683e-01 1.025117e-01 -1.239232e-19
3              1.680830e+01 3.650995e+01 5.772456e-18 1.632680e+01 3.640371e+01 5.899141e-18 4.814980e-01 1.062423e-01 -1.266848e-19
3.05           1.692154e+01 3.681216e+01 5.756388e-18 1.645016e+01 3.670165e+01 5.883546e-18 4.713729e-01 1.105085e-01 -1.271577e-19
3.1            1.698465e+01 3.701007e+01 5.741638e-18 1.652387e+01 3.689585e+01 5.870193e-18 4.607860e-01 1.142217e-01 -1.285549e-19
3.15           1.709217e+01 3.728852e+01 5.716028e-18 1.664188e+01 3.717020e+01 5.843922e-18 4.502966e-01 1.183215e-01 -1.278948e-19
3.2            1.718000e+01 3.751752e+01 5.685127e-18 1.674022e+01 3.739520e+01 5.811987e-18 4.397792e-01 1.223177e-01 -1.268604e-19
3.25           1.727155e+01 3.774498e+01 5.650807e-18 1.684201e+01 3.761841e+01 5.774967e-18 4.295330e-01 1.265669e-01 -1.241603e-19
