# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.05           -8.721511e+00 1.071652e+01 -1.306210e+01 -9.946999e+00 6.949219e+00 3.490653e+01 1.225488e+00 3.767298e+00 -4.796863e+01
0.1            -7.662400e+00 8.827495e+00 -1.265866e+01 -8.634861e+00 5.961205e+00 2.513801e+01 9.724610e-01 2.866290e+00 -3.779668e+01
0.15           -7.528428e+00 7.981739e+00 -6.348056e+00 -8.346954e+00 5.657011e+00 2.522112e+01 8.185254e-01 2.324728e+00 -3.156918e+01
0.2            -8.087378e+00 7.659059e+00 6.922893e+00 -8.791067e+00 5.681622e+00 3.422492e+01 7.036891e-01 1.977437e+00 -2.730202e+01
0.25           -9.005373e+00 7.649346e+00 2.351455e+01 -9.621258e+00 5.915645e+00 4.767372e+01 6.158848e-01 1.733700e+00 -2.415917e+01
0.3            -9.869420e+00 7.755946e+00 3.744560e+01 -1.041401e+01 6.200010e+00 5.915346e+01 5.445927e-01 1.555936e+00 -2.170786e+01
0.35           -1.068670e+01 7.877078e+00 5.041695e+01 -1.116098e+01 6.460827e+00 6.989019e+01 4.742796e-01 1.416251e+00 -1.947324e+01
0.4            -1.132124e+01 7.910289e+00 6.116165e+01 -1.172363e+01 6.608241e+00 7.851476e+01 4.023948e-01 1.302048e+00 -1.735311e+01
0.45           -1.205060e+01 7.989624e+00 7.333633e+01 -1.238753e+01 6.780004e+00 8.883621e+01 3.369284e-01 1.209620e+00 -1.549988e+01
0.5            -1.247053e+01 7.970839e+00 8.055146e+01 -1.275329e+01 6.838217e+00 9.451738e+01 2.827647e-01 1.132622e+00 -1.396592e+01
0.55           -1.272198e+01 7.885555e+00 8.542082e+01 -1.296110e+01 6.822373e+00 9.810419e+01 2.391210e-01 1.063181e+00 -1.268337e+01
0.6            -1.300495e+01 7.814441e+00 9.031411e+01 -1.321156e+01 6.815227e+00 1.019617e+02 2.066097e-01 9.992140e-01 -1.164756e+01
0.65           -1.318274e+01 7.711040e+00 9.365348e+01 -1.336567e+01 6.770309e+00 1.044725e+02 1.829371e-01 9.407310e-01 -1.081901e+01
0.7            -1.339327e+01 7.639422e+00 9.724413e+01 -1.355856e+01 6.751566e+00 1.073915e+02 1.652893e-01 8.878562e-01 -1.014735e+01
0.75           -1.356766e+01 7.570046e+00 1.002137e+02 -1.371913e+01 6.730058e+00 1.097999e+02 1.514701e-01 8.399877e-01 -9.586216e+00
0.8            -1.370015e+01 7.516435e+00 1.024040e+02 -1.384029e+01 6.719320e+00 1.115124e+02 1.401475e-01 7.971155e-01 -9.108382e+00
0.85           -1.384633e+01 7.498080e+00 1.045328e+02 -1.397662e+01 6.739013e+00 1.132264e+02 1.302956e-01 7.590672e-01 -8.693685e+00
0.9            -1.396405e+01 7.474785e+00 1.063608e+02 -1.408551e+01 6.749859e+00 1.146841e+02 1.214586e-01 7.249253e-01 -8.323238e+00
0.95           -1.405393e+01 7.451615e+00 1.077259e+02 -1.416652e+01 6.757472e+00 1.157009e+02 1.125922e-01 6.941431e-01 -7.974946e+00
1              -1.417466e+01 7.456079e+00 1.095353e+02 -1.427857e+01 6.789813e+00 1.171809e+02 1.039190e-01 6.662658e-01 -7.645589e+00
1.05           -1.430729e+01 7.470872e+00 1.115205e+02 -1.440245e+01 6.829798e+00 1.188495e+02 9.516279e-02 6.410739e-01 -7.329008e+00
1.1            -1.443698e+01 7.485275e+00 1.134213e+02 -1.452364e+01 6.867448e+00 1.204453e+02 8.665506e-02 6.178264e-01 -7.023974e+00
1.15           -1.455856e+01 7.493873e+00 1.151756e+02 -1.463700e+01 6.898019e+00 1.219016e+02 7.844787e-02 5.958538e-01 -6.725930e+00
1.2            -1.472622e+01 7.523256e+00 1.175439e+02 -1.479713e+01 6.948369e+00 1.239821e+02 7.091007e-02 5.748873e-01 -6.438255e+00
1.25           -1.487289e+01 7.539979e+00 1.196047e+02 -1.493627e+01 6.984957e+00 1.257619e+02 6.337471e-02 5.550221e-01 -6.157232e+00
1.3            -1.499389e+01 7.542290e+00 1.213405e+02 -1.505034e+01 7.006452e+00 1.272280e+02 5.644673e-02 5.358374e-01 -5.887513e+00
