# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.05           2.326480e+01 1.950918e+01 1.059757e-17 1.573260e+01 2.199741e+01 1.134106e-17 7.532199e+00 -2.488228e+00 -7.434817e-19
0.1            1.812122e+01 1.563280e+01 8.581368e-18 1.247743e+01 1.763993e+01 9.154610e-18 5.643788e+00 -2.007133e+00 -5.732419e-19
0.15           1.623901e+01 1.499490e+01 8.275639e-18 1.168854e+01 1.666864e+01 8.833887e-18 4.550463e+00 -1.673742e+00 -5.582479e-19
0.2            1.550971e+01 1.616116e+01 8.228512e-18 1.166902e+01 1.759586e+01 8.779839e-18 3.840691e+00 -1.434701e+00 -5.513276e-19
0.25           1.528112e+01 1.769919e+01 8.011803e-18 1.193671e+01 1.895853e+01 8.555011e-18 3.344417e+00 -1.259343e+00 -5.432079e-19
0.3            1.529203e+01 1.920794e+01 7.901342e-18 1.229750e+01 2.033590e+01 8.456482e-18 2.994534e+00 -1.127957e+00 -5.551404e-19
0.35           1.543428e+01 2.075331e+01 7.735561e-18 1.269378e+01 2.176020e+01 8.301577e-18 2.740507e+00 -1.006884e+00 -5.660161e-19
0.4            1.561719e+01 2.230299e+01 7.550409e-18 1.307948e+01 2.318474e+01 8.115631e-18 2.537714e+00 -8.817566e-01 -5.652221e-19
0.45           1.566059e+01 2.349379e+01 7.385977e-18 1.329215e+01 2.424673e+01 7.942236e-18 2.368446e+00 -7.529399e-01 -5.562594e-19
0.5            1.567740e+01 2.450983e+01 7.167808e-18 1.345387e+01 2.514570e+01 7.718058e-18 2.223526e+00 -6.358618e-01 -5.502498e-19
0.55           1.568117e+01 2.541225e+01 6.937870e-18 1.358885e+01 2.595343e+01 7.486482e-18 2.092321e+00 -5.411737e-01 -5.486118e-19
0.6            1.560042e+01 2.604080e+01 6.736128e-18 1.363094e+01 2.651067e+01 7.283667e-18 1.969481e+00 -4.698749e-01 -5.475395e-19
0.65           1.547817e+01 2.653785e+01 6.537268e-18 1.362251e+01 2.695642e+01 7.081636e-18 1.855656e+00 -4.185704e-01 -5.443682e-19
0.7            1.530500e+01 2.681996e+01 6.362206e-18 1.355430e+01 2.720082e+01 6.905085e-18 1.750704e+00 -3.808550e-01 -5.428798e-19
0.75           1.517784e+01 2.709303e+01 6.204490e-18 1.352282e+01 2.744525e+01 6.748204e-18 1.655019e+00 -3.522209e-01 -5.437144e-19
0.8            1.499031e+01 2.716410e+01 6.076913e-18 1.342263e+01 2.749323e+01 6.624939e-18 1.567675e+00 -3.291336e-01 -5.480265e-19
0.85           1.491941e+01 2.739126e+01 5.949918e-18 1.343174e+01 2.770007e+01 6.503960e-18 1.487663e+00 -3.088106e-01 -5.540418e-19
0.9            1.489018e+01 2.766940e+01 5.844734e-18 1.347518e+01 2.795979e+01 6.407530e-18 1.415001e+00 -2.903925e-01 -5.627966e-19
0.95           1.487231e+01 2.791928e+01 5.752758e-18 1.352301e+01 2.819174e+01 6.324023e-18 1.349307e+00 -2.724619e-01 -5.712646e-19
1              1.490413e+01 2.824034e+01 5.684543e-18 1.361452e+01 2.849534e+01 6.266723e-18 1.289606e+00 -2.549970e-01 -5.821795e-19
1.05           1.495084e+01 2.860171e+01 5.626247e-18 1.371464e+01 2.883927e+01 6.219567e-18 1.236193e+00 -2.375633e-01 -5.933205e-19
1.1            1.500929e+01 2.894642e+01 5.573691e-18 1.382138e+01 2.916647e+01 6.177086e-18 1.187909e+00 -2.200549e-01 -6.033952e-19
1.15           1.506716e+01 2.930059e+01 5.537457e-18 1.392309e+01 2.950304e+01 6.149624e-18 1.144072e+00 -2.024441e-01 -6.121679e-19
