# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.05           6.234516e+01 6.157087e+01 3.796947e-17 4.792158e+01 6.667656e+01 4.039856e-17 1.442358e+01 -5.105689e+00 -2.429098e-18
0.1            5.547334e+01 6.351271e+01 3.624742e-17 4.491203e+01 6.743741e+01 3.855776e-17 1.056131e+01 -3.924706e+00 -2.310345e-18
0.15           5.614693e+01 7.698390e+01 3.496578e-17 4.756127e+01 8.018934e+01 3.726796e-17 8.585663e+00 -3.205439e+00 -2.302176e-18
0.2            5.889781e+01 8.963934e+01 3.329973e-17 5.148546e+01 9.229203e+01 3.565923e-17 7.412351e+00 -2.652693e+00 -2.359504e-18
0.25           5.978595e+01 9.815318e+01 3.121405e-17 5.328980e+01 1.001326e+02 3.349913e-17 6.496148e+00 -1.979459e+00 -2.285083e-18
0.3            6.003662e+01 1.048266e+02 2.874690e-17 5.436871e+01 1.063173e+02 3.101896e-17 5.667906e+00 -1.490713e+00 -2.272067e-18
0.35           5.964822e+01 1.091359e+02 2.683823e-17 5.470895e+01 1.103531e+02 2.905886e-17 4.939274e+00 -1.217240e+00 -2.220626e-18
0.4            5.862105e+01 1.102721e+02 2.522008e-17 5.428199e+01 1.113203e+02 2.743116e-17 4.339059e+00 -1.048207e+00 -2.211078e-18
0.45           5.861555e+01 1.126202e+02 2.381403e-17 5.476373e+01 1.135456e+02 2.605206e-17 3.851824e+00 -9.254190e-01 -2.238028e-18
0.5            5.908015e+01 1.155969e+02 2.288903e-17 5.561621e+01 1.164217e+02 2.517011e-17 3.463945e+00 -8.248361e-01 -2.281080e-18
0.55           5.950037e+01 1.183044e+02 2.231570e-17 5.635245e+01 1.190332e+02 2.466786e-17 3.147923e+00 -7.287808e-01 -2.352158e-18
0.6            6.003747e+01 1.210599e+02 2.201640e-17 5.715468e+01 1.216896e+02 2.441182e-17 2.882783e+00 -6.296913e-01 -2.395425e-18
0.65           6.062456e+01 1.236520e+02 2.184301e-17 5.796435e+01 1.241828e+02 2.426548e-17 2.660218e+00 -5.307695e-01 -2.422468e-18
0.7            6.097309e+01 1.255353e+02 2.175803e-17 5.851009e+01 1.259756e+02 2.417592e-17 2.463003e+00 -4.403032e-01 -2.417888e-18
0.75           6.103904e+01 1.268301e+02 2.178604e-17 5.875841e+01 1.271896e+02 2.416837e-17 2.280636e+00 -3.595246e-01 -2.382333e-18
0.8            6.114640e+01 1.281153e+02 2.184834e-17 5.903571e+01 1.284024e+02 2.418800e-17 2.110684e+00 -2.871302e-01 -2.339661e-18
0.85           6.117406e+01 1.291323e+02 2.194219e-17 5.921906e+01 1.293548e+02 2.422671e-17 1.955000e+00 -2.224735e-01 -2.284528e-18
0.9            6.136495e+01 1.302061e+02 2.195322e-17 5.954838e+01 1.303746e+02 2.416336e-17 1.816569e+00 -1.685264e-01 -2.210146e-18
0.95           6.171119e+01 1.314465e+02 2.195639e-17 6.001524e+01 1.315736e+02 2.409263e-17 1.695955e+00 -1.271550e-01 -2.136241e-18
1              6.235895e+01 1.331900e+02 2.192472e-17 6.076432e+01 1.332843e+02 2.398964e-17 1.594630e+00 -9.428787e-02 -2.064917e-18
