# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
9.9001        	1.421473e+02	-8.516949e+01	2.273168e+02	3.124862e+02	-1.413304e+03	1.725790e+03	-1.569547e+03	-1.562431e+02	7.107363e+01	1.399780e-17	7.107363e+01	-7.107363e+01
9.9002        	1.462533e+02	-8.653159e+01	2.327849e+02	3.193165e+02	-1.438083e+03	1.757400e+03	-1.597741e+03	-1.596582e+02	7.312663e+01	1.502350e-17	7.312663e+01	-7.312663e+01
9.9003        	1.482150e+02	-8.679419e+01	2.350092e+02	3.218034e+02	-1.444981e+03	1.766784e+03	-1.605883e+03	-1.609017e+02	7.410750e+01	1.602455e-17	7.410750e+01	-7.410750e+01
9.9004        	1.491349e+02	-8.669652e+01	2.358314e+02	3.225279e+02	-1.445476e+03	1.768004e+03	-1.606740e+03	-1.612640e+02	7.456744e+01	1.677169e-17	7.456744e+01	-7.456744e+01
9.9005        	1.496147e+02	-8.650502e+01	2.361198e+02	3.226248e+02	-1.443896e+03	1.766521e+03	-1.605208e+03	-1.613124e+02	7.480737e+01	1.740025e-17	7.480737e+01	-7.480737e+01
9.9006        	1.498168e+02	-8.625823e+01	2.360750e+02	3.223333e+02	-1.441016e+03	1.763350e+03	-1.602183e+03	-1.611666e+02	7.490840e+01	1.801863e-17	7.490840e+01	-7.490840e+01
9.9007        	1.500221e+02	-8.607280e+01	2.360949e+02	3.221677e+02	-1.439192e+03	1.761359e+03	-1.600275e+03	-1.610839e+02	7.501106e+01	1.809498e-17	7.501106e+01	-7.501106e+01
9.9008        	1.501005e+02	-8.587328e+01	2.359738e+02	3.218471e+02	-1.436715e+03	1.758562e+03	-1.597639e+03	-1.609235e+02	7.505026e+01	1.829666e-17	7.505026e+01	-7.505026e+01
9.9009        	1.500920e+02	-8.566655e+01	2.357585e+02	3.214251e+02	-1.433823e+03	1.755248e+03	-1.594535e+03	-1.607125e+02	7.504598e+01	1.886315e-17	7.504598e+01	-7.504598e+01
9.901         	1.500791e+02	-8.549817e+01	2.355773e+02	3.210754e+02	-1.431400e+03	1.752476e+03	-1.591938e+03	-1.605377e+02	7.503955e+01	1.932697e-17	7.503955e+01	-7.503955e+01
9.9011        	1.500818e+02	-8.536559e+01	2.354474e+02	3.208130e+02	-1.429481e+03	1.750294e+03	-1.589887e+03	-1.604065e+02	7.504089e+01	1.973309e-17	7.504089e+01	-7.504089e+01
9.9012        	1.500608e+02	-8.525210e+01	2.353129e+02	3.205650e+02	-1.427869e+03	1.748434e+03	-1.588151e+03	-1.602825e+02	7.503038e+01	2.009337e-17	7.503038e+01	-7.503038e+01
9.9013        	1.500331e+02	-8.517086e+01	2.352040e+02	3.203749e+02	-1.426283e+03	1.746657e+03	-1.586470e+03	-1.601874e+02	7.501657e+01	2.040111e-17	7.501657e+01	-7.501657e+01
