# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.005          -6.733616e+01 7.424106e+01 -1.476857e+02 -7.239722e+01 5.887034e+01 4.423626e+01 5.061061e+00 1.537073e+01 -1.919220e+02
0.01           -9.744115e+01 9.203523e+01 1.783823e+02 -1.023609e+02 7.739870e+01 3.641536e+02 4.919790e+00 1.463653e+01 -1.857714e+02
0.015          -9.153626e+01 8.408063e+01 1.746442e+02 -9.634626e+01 7.020208e+01 3.543966e+02 4.809999e+00 1.387855e+01 -1.797524e+02
0.02           -7.890957e+01 7.237417e+01 7.612180e+01 -8.362230e+01 5.919201e+01 2.502812e+02 4.712730e+00 1.318216e+01 -1.741594e+02
0.025          -7.262665e+01 6.747506e+01 9.127151e+00 -7.723523e+01 5.493366e+01 1.775956e+02 4.608577e+00 1.254140e+01 -1.684685e+02
0.03           -7.078723e+01 6.596886e+01 -9.494678e+00 -7.527940e+01 5.402823e+01 1.530611e+02 4.492169e+00 1.194063e+01 -1.625558e+02
0.035          -6.887828e+01 6.455928e+01 -2.267484e+01 -7.322496e+01 5.316968e+01 1.337502e+02 4.346681e+00 1.138960e+01 -1.564250e+02
0.04           -6.787636e+01 6.306668e+01 -1.529219e+01 -7.205705e+01 5.216316e+01 1.351387e+02 4.180689e+00 1.090352e+01 -1.504309e+02
0.045          -6.843730e+01 6.270899e+01 2.951378e+00 -7.243974e+01 5.222656e+01 1.477069e+02 4.002433e+00 1.048243e+01 -1.447555e+02
0.05           -7.035721e+01 6.227594e+01 4.132637e+01 -7.419931e+01 5.217648e+01 1.808548e+02 3.842093e+00 1.009945e+01 -1.395284e+02
0.055          -7.131064e+01 6.124742e+01 7.765356e+01 -7.501800e+01 5.149398e+01 2.125970e+02 3.707362e+00 9.753446e+00 -1.349435e+02
0.06           -7.147516e+01 6.034317e+01 9.085517e+01 -7.505299e+01 5.091240e+01 2.214450e+02 3.577828e+00 9.430777e+00 -1.305898e+02
0.065          -7.418295e+01 6.028280e+01 1.420019e+02 -7.764031e+01 5.114820e+01 2.685338e+02 3.457365e+00 9.134600e+00 -1.265320e+02
0.07           -7.815884e+01 6.147760e+01 1.968654e+02 -8.150845e+01 5.261329e+01 3.196829e+02 3.349609e+00 8.864308e+00 -1.228175e+02
0.075          -8.059886e+01 6.172607e+01 2.415504e+02 -8.385803e+01 5.311022e+01 3.610484e+02 3.259170e+00 8.615850e+00 -1.194980e+02
0.08           -8.239592e+01 6.153289e+01 2.817125e+02 -8.558410e+01 5.314820e+01 3.983030e+02 3.188177e+00 8.384692e+00 -1.165904e+02
0.085          -8.489750e+01 6.188878e+01 3.264239e+02 -8.802007e+01 5.371225e+01 4.404122e+02 3.122573e+00 8.176537e+00 -1.139883e+02
0.09           -8.599386e+01 6.180522e+01 3.519309e+02 -8.905193e+01 5.381283e+01 4.635606e+02 3.058064e+00 7.992384e+00 -1.116296e+02
0.095          -8.724335e+01 6.196281e+01 3.747693e+02 -9.023825e+01 5.413183e+01 4.842572e+02 2.994899e+00 7.830982e+00 -1.094880e+02
0.1            -8.842548e+01 6.229263e+01 3.940505e+02 -9.136496e+01 5.460997e+01 5.015852e+02 2.939484e+00 7.682662e+00 -1.075347e+02
0.105          -9.017008e+01 6.270737e+01 4.243961e+02 -9.305737e+01 5.516645e+01 5.300504e+02 2.887284e+00 7.540916e+00 -1.056542e+02
0.11           -9.088071e+01 6.248041e+01 4.403678e+02 -9.371719e+01 5.507965e+01 5.441559e+02 2.836488e+00 7.400764e+00 -1.037881e+02
0.115          -9.335897e+01 6.291787e+01 4.839189e+02 -9.614117e+01 5.565593e+01 5.857882e+02 2.782201e+00 7.261939e+00 -1.018693e+02
0.12           -9.627405e+01 6.357083e+01 5.307422e+02 -9.899644e+01 5.644557e+01 6.305944e+02 2.722393e+00 7.125265e+00 -9.985225e+01
0.125          -9.869707e+01 6.412026e+01 5.690515e+02 -1.013517e+02 5.712838e+01 6.667569e+02 2.654598e+00 6.991888e+00 -9.770538e+01
0.13           -1.008141e+02 6.461177e+01 6.009798e+02 -1.033924e+02 5.774939e+01 6.964128e+02 2.578279e+00 6.862389e+00 -9.543296e+01
0.135          -1.025163e+02 6.483382e+01 6.271184e+02 -1.050121e+02 5.809696e+01 7.201926e+02 2.495729e+00 6.736856e+00 -9.307427e+01
0.14           -1.032865e+02 6.498708e+01 6.393162e+02 -1.056966e+02 5.837145e+01 7.300020e+02 2.410030e+00 6.615635e+00 -9.068572e+01
0.145          -1.054484e+02 6.569416e+01 6.673642e+02 -1.077693e+02 5.919471e+01 7.556359e+02 2.320885e+00 6.499454e+00 -8.827171e+01
0.15           -1.068100e+02 6.594341e+01 6.876524e+02 -1.090482e+02 5.955708e+01 7.736081e+02 2.238137e+00 6.386325e+00 -8.595568e+01
0.155          -1.082477e+02 6.623688e+01 7.078839e+02 -1.104053e+02 5.996296e+01 7.915739e+02 2.157575e+00 6.273925e+00 -8.368998e+01
0.16           -1.096779e+02 6.643232e+01 7.304034e+02 -1.117584e+02 6.026938e+01 8.119288e+02 2.080518e+00 6.162945e+00 -8.152532e+01
0.165          -1.108106e+02 6.640284e+01 7.496888e+02 -1.128166e+02 6.034898e+01 8.291514e+02 2.005953e+00 6.053856e+00 -7.946253e+01
0.17           -1.119235e+02 6.645340e+01 7.670564e+02 -1.138566e+02 6.050742e+01 8.445429e+02 1.933131e+00 5.945978e+00 -7.748654e+01
0.175          -1.136331e+02 6.666383e+01 7.927396e+02 -1.154983e+02 6.082631e+01 8.683446e+02 1.865251e+00 5.837519e+00 -7.560505e+01
0.18           -1.151956e+02 6.670385e+01 8.175522e+02 -1.169974e+02 6.097568e+01 8.913484e+02 1.801771e+00 5.728177e+00 -7.379617e+01
0.185          -1.166605e+02 6.694491e+01 8.381243e+02 -1.184039e+02 6.132747e+01 9.101787e+02 1.743335e+00 5.617437e+00 -7.205441e+01
0.19           -1.176262e+02 6.687151e+01 8.531645e+02 -1.193153e+02 6.136463e+01 9.235399e+02 1.689112e+00 5.506880e+00 -7.037537e+01
0.195          -1.185404e+02 6.691184e+01 8.662521e+02 -1.201802e+02 6.151528e+01 9.350207e+02 1.639794e+00 5.396557e+00 -6.876869e+01
0.2            -1.194548e+02 6.696920e+01 8.798929e+02 -1.210489e+02 6.168169e+01 9.471153e+02 1.594097e+00 5.287507e+00 -6.722247e+01
