# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
9.9001         -1.913978e+02 8.706520e+01 1.922695e+03 -1.909366e+02 8.689178e+01 1.918597e+03 -4.611778e-01 1.734232e-01 4.098422e+00
9.9002         -1.955813e+02 8.958013e+01 1.957233e+03 -1.951204e+02 8.940504e+01 1.953153e+03 -4.609568e-01 1.750862e-01 4.079887e+00
9.9003         -1.971046e+02 9.078168e+01 1.967206e+03 -1.966436e+02 9.060532e+01 1.963139e+03 -4.609943e-01 1.763663e-01 4.067441e+00
9.9004         -1.975483e+02 9.134511e+01 1.968257e+03 -1.970872e+02 9.116770e+01 1.964198e+03 -4.611920e-01 1.774082e-01 4.058797e+00
9.9005         -1.976077e+02 9.163903e+01 1.966380e+03 -1.971462e+02 9.146074e+01 1.962327e+03 -4.614925e-01 1.782847e-01 4.052731e+00
9.9006         -1.974291e+02 9.176279e+01 1.962674e+03 -1.969673e+02 9.158375e+01 1.958626e+03 -4.618551e-01 1.790358e-01 4.048492e+00
9.9007         -1.973277e+02 9.188855e+01 1.960337e+03 -1.968655e+02 9.170886e+01 1.956292e+03 -4.622512e-01 1.796863e-01 4.045576e+00
9.9008         -1.971313e+02 9.193657e+01 1.957107e+03 -1.966687e+02 9.175632e+01 1.953064e+03 -4.626624e-01 1.802528e-01 4.043656e+00
9.9009         -1.968728e+02 9.193132e+01 1.953306e+03 -1.964098e+02 9.175057e+01 1.949263e+03 -4.630756e-01 1.807490e-01 4.042468e+00
9.901          -1.966587e+02 9.192345e+01 1.950124e+03 -1.961952e+02 9.174227e+01 1.946082e+03 -4.634837e-01 1.811850e-01 4.041845e+00
9.9011         -1.964979e+02 9.192509e+01 1.947612e+03 -1.960341e+02 9.174352e+01 1.943570e+03 -4.638824e-01 1.815693e-01 4.041660e+00
9.9012         -1.963460e+02 9.191222e+01 1.945485e+03 -1.958818e+02 9.173031e+01 1.941443e+03 -4.642691e-01 1.819093e-01 4.041817e+00
9.9013         -1.962296e+02 9.189529e+01 1.943426e+03 -1.957650e+02 9.171308e+01 1.939384e+03 -4.646431e-01 1.822099e-01 4.042257e+00
9.9014         -1.961816e+02 9.191342e+01 1.942303e+03 -1.957166e+02 9.173095e+01 1.938260e+03 -4.650033e-01 1.824761e-01 4.042921e+00
9.9015         -1.961392e+02 9.191247e+01 1.941346e+03 -1.956739e+02 9.172976e+01 1.937303e+03 -4.653494e-01 1.827117e-01 4.043767e+00
9.9016         -1.961432e+02 9.193697e+01 1.940964e+03 -1.956776e+02 9.175405e+01 1.936920e+03 -4.656818e-01 1.829200e-01 4.044767e+00
9.9017         -1.961061e+02 9.193651e+01 1.940141e+03 -1.956401e+02 9.175341e+01 1.936095e+03 -4.660002e-01 1.831041e-01 4.045885e+00
9.9018         -1.960716e+02 9.193329e+01 1.939302e+03 -1.956053e+02 9.175002e+01 1.935255e+03 -4.663052e-01 1.832667e-01 4.047100e+00
9.9019         -1.960427e+02 9.193041e+01 1.938589e+03 -1.955761e+02 9.174700e+01 1.934540e+03 -4.665973e-01 1.834098e-01 4.048396e+00
9.902          -1.960016e+02 9.192131e+01 1.937840e+03 -1.955347e+02 9.173778e+01 1.933790e+03 -4.668767e-01 1.835357e-01 4.049751e+00
9.9021         -1.960446e+02 9.195194e+01 1.938117e+03 -1.955775e+02 9.176830e+01 1.934066e+03 -4.671442e-01 1.836464e-01 4.051154e+00
9.9022         -1.960833e+02 9.197225e+01 1.938383e+03 -1.956159e+02 9.178851e+01 1.934331e+03 -4.674009e-01 1.837428e-01 4.052606e+00
9.9023         -1.959909e+02 9.193790e+01 1.937069e+03 -1.955232e+02 9.175407e+01 1.933015e+03 -4.676466e-01 1.838271e-01 4.054082e+00
9.9024         -1.959787e+02 9.193850e+01 1.936735e+03 -1.955108e+02 9.175459e+01 1.932680e+03 -4.678819e-01 1.839002e-01 4.055576e+00
9.9025         -1.959468e+02 9.192974e+01 1.936198e+03 -1.954787e+02 9.174578e+01 1.932141e+03 -4.681075e-01 1.839634e-01 4.057083e+00
9.9026         -1.959055e+02 9.191724e+01 1.935551e+03 -1.954372e+02 9.173322e+01 1.931493e+03 -4.683238e-01 1.840177e-01 4.058596e+00
9.9027         -1.958690e+02 9.190699e+01 1.935010e+03 -1.954005e+02 9.172293e+01 1.930950e+03 -4.685313e-01 1.840639e-01 4.060109e+00
9.9028         -1.958178e+02 9.188836e+01 1.934251e+03 -1.953491e+02 9.170426e+01 1.930190e+03 -4.687305e-01 1.841029e-01 4.061617e+00
9.9029         -1.957728e+02 9.187288e+01 1.933606e+03 -1.953039e+02 9.168875e+01 1.929543e+03 -4.689218e-01 1.841354e-01 4.063119e+00
9.903          -1.957309e+02 9.185815e+01 1.933009e+03 -1.952618e+02 9.167398e+01 1.928944e+03 -4.691057e-01 1.841620e-01 4.064613e+00
9.9031         -1.956885e+02 9.184119e+01 1.932426e+03 -1.952192e+02 9.165701e+01 1.928360e+03 -4.692827e-01 1.841831e-01 4.066096e+00
9.9032         -1.956361e+02 9.182866e+01 1.931673e+03 -1.951666e+02 9.164446e+01 1.927606e+03 -4.694528e-01 1.841998e-01 4.067561e+00
9.9033         -1.955912e+02 9.181109e+01 1.931071e+03 -1.951216e+02 9.162687e+01 1.927002e+03 -4.696167e-01 1.842122e-01 4.069009e+00
9.9034         -1.955430e+02 9.179236e+01 1.930430e+03 -1.950732e+02 9.160813e+01 1.926360e+03 -4.697746e-01 1.842206e-01 4.070443e+00
9.9035         -1.954921e+02 9.177235e+01 1.929761e+03 -1.950222e+02 9.158813e+01 1.925689e+03 -4.699270e-01 1.842252e-01 4.071861e+00
9.9036         -1.954119e+02 9.173943e+01 1.928738e+03 -1.949418e+02 9.155521e+01 1.924665e+03 -4.700740e-01 1.842266e-01 4.073261e+00
9.9037         -1.954069e+02 9.173900e+01 1.928644e+03 -1.949367e+02 9.155478e+01 1.924569e+03 -4.702160e-01 1.842245e-01 4.074647e+00
9.9038         -1.953492e+02 9.171551e+01 1.927903e+03 -1.948789e+02 9.153129e+01 1.923827e+03 -4.703533e-01 1.842195e-01 4.076016e+00
9.9039         -1.952962e+02 9.169384e+01 1.927225e+03 -1.948257e+02 9.150963e+01 1.923148e+03 -4.704861e-01 1.842119e-01 4.077367e+00
9.904          -1.952519e+02 9.167625e+01 1.926643e+03 -1.947813e+02 9.149205e+01 1.922564e+03 -4.706145e-01 1.842019e-01 4.078700e+00
9.9041         -1.951849e+02 9.164779e+01 1.925817e+03 -1.947141e+02 9.146360e+01 1.921737e+03 -4.707389e-01 1.841896e-01 4.080016e+00
9.9042         -1.951275e+02 9.162374e+01 1.925100e+03 -1.946567e+02 9.143957e+01 1.921019e+03 -4.708593e-01 1.841752e-01 4.081314e+00
9.9043         -1.950675e+02 9.159836e+01 1.924357e+03 -1.945966e+02 9.141420e+01 1.920275e+03 -4.709760e-01 1.841588e-01 4.082594e+00
9.9044         -1.950042e+02 9.157136e+01 1.923578e+03 -1.945331e+02 9.138722e+01 1.919494e+03 -4.710892e-01 1.841406e-01 4.083857e+00
9.9045         -1.949394e+02 9.154363e+01 1.922784e+03 -1.944682e+02 9.135951e+01 1.918699e+03 -4.711989e-01 1.841206e-01 4.085103e+00
9.9046         -1.948756e+02 9.151628e+01 1.921996e+03 -1.944043e+02 9.133218e+01 1.917910e+03 -4.713053e-01 1.840990e-01 4.086331e+00
9.9047         -1.947899e+02 9.147870e+01 1.920999e+03 -1.943185e+02 9.129462e+01 1.916911e+03 -4.714086e-01 1.840760e-01 4.087541e+00
9.9048         -1.947756e+02 9.147111e+01 1.920831e+03 -1.943041e+02 9.128706e+01 1.916742e+03 -4.715088e-01 1.840516e-01 4.088734e+00
9.9049         -1.947014e+02 9.144053e+01 1.919929e+03 -1.942298e+02 9.125650e+01 1.915839e+03 -4.716064e-01 1.840255e-01 4.089918e+00
9.905          -1.946248e+02 9.140759e+01 1.919011e+03 -1.941531e+02 9.122359e+01 1.914920e+03 -4.717012e-01 1.839983e-01 4.091083e+00
9.9051         -1.945486e+02 9.137428e+01 1.918096e+03 -1.940768e+02 9.119031e+01 1.914004e+03 -4.717933e-01 1.839699e-01 4.092232e+00
9.9052         -1.944732e+02 9.134120e+01 1.917190e+03 -1.940013e+02 9.115726e+01 1.913097e+03 -4.718827e-01 1.839403e-01 4.093364e+00
9.9053         -1.943988e+02 9.130938e+01 1.916304e+03 -1.939269e+02 9.112547e+01 1.912210e+03 -4.719697e-01 1.839097e-01 4.094480e+00
9.9054         -1.943195e+02 9.127391e+01 1.915351e+03 -1.938475e+02 9.109004e+01 1.911255e+03 -4.720542e-01 1.838780e-01 4.095582e+00
9.9055         -1.942392e+02 9.123914e+01 1.914389e+03 -1.937670e+02 9.105530e+01 1.910292e+03 -4.721364e-01 1.838454e-01 4.096668e+00
9.9056         -1.941669e+02 9.120695e+01 1.913526e+03 -1.936947e+02 9.102314e+01 1.909428e+03 -4.722164e-01 1.838118e-01 4.097738e+00
9.9057         -1.940837e+02 9.116983e+01 1.912547e+03 -1.936114e+02 9.098605e+01 1.908448e+03 -4.722943e-01 1.837769e-01 4.098798e+00
9.9058         -1.939999e+02 9.113351e+01 1.911548e+03 -1.935275e+02 9.094977e+01 1.907448e+03 -4.723701e-01 1.837412e-01 4.099843e+00
9.9059         -1.939108e+02 9.109475e+01 1.910480e+03 -1.934383e+02 9.091104e+01 1.906379e+03 -4.724439e-01 1.837048e-01 4.100873e+00
9.906          -1.938175e+02 9.105394e+01 1.909346e+03 -1.933450e+02 9.087027e+01 1.905245e+03 -4.725157e-01 1.836676e-01 4.101889e+00
9.9061         -1.937390e+02 9.102074e+01 1.908429e+03 -1.932665e+02 9.083711e+01 1.904326e+03 -4.725854e-01 1.836298e-01 4.102887e+00
9.9062         -1.936432e+02 9.097865e+01 1.907286e+03 -1.931706e+02 9.079506e+01 1.903182e+03 -4.726534e-01 1.835915e-01 4.103872e+00
9.9063         -1.935278e+02 9.092856e+01 1.905907e+03 -1.930550e+02 9.074501e+01 1.901802e+03 -4.727195e-01 1.835526e-01 4.104840e+00
9.9064         -1.934688e+02 9.090279e+01 1.905204e+03 -1.929960e+02 9.071927e+01 1.901098e+03 -4.727839e-01 1.835129e-01 4.105798e+00
9.9065         -1.933705e+02 9.085981e+01 1.904008e+03 -1.928977e+02 9.067633e+01 1.899901e+03 -4.728467e-01 1.834728e-01 4.106741e+00
9.9066         -1.932644e+02 9.081432e+01 1.902759e+03 -1.927915e+02 9.063088e+01 1.898651e+03 -4.729077e-01 1.834322e-01 4.107669e+00
