# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
5.1001         4.368472e+02 7.557115e+02 3.481327e-17 4.231369e+02 7.599207e+02 3.493271e-17 1.371037e+01 -4.209206e+00 -1.194353e-19
5.1002         4.368124e+02 7.556839e+02 3.478752e-17 4.231061e+02 7.598913e+02 3.490708e-17 1.370631e+01 -4.207352e+00 -1.195571e-19
5.1003         4.367921e+02 7.556664e+02 3.474395e-17 4.230899e+02 7.598719e+02 3.486363e-17 1.370225e+01 -4.205504e+00 -1.196789e-19
5.1004         4.367664e+02 7.556435e+02 3.472497e-17 4.230682e+02 7.598472e+02 3.484477e-17 1.369820e+01 -4.203659e+00 -1.198003e-19
5.1005         4.366904e+02 7.555717e+02 3.472688e-17 4.229962e+02 7.597735e+02 3.484680e-17 1.369415e+01 -4.201819e+00 -1.199257e-19
5.1006         4.366720e+02 7.555620e+02 3.467918e-17 4.229819e+02 7.597620e+02 3.479923e-17 1.369010e+01 -4.199983e+00 -1.200483e-19
5.1007         4.365912e+02 7.554014e+02 3.464555e-17 4.229051e+02 7.595995e+02 3.476572e-17 1.368606e+01 -4.198151e+00 -1.201676e-19
5.1008         4.365753e+02 7.554629e+02 3.463932e-17 4.228933e+02 7.596592e+02 3.475961e-17 1.368201e+01 -4.196323e+00 -1.202942e-19
5.1009         4.366361e+02 7.555874e+02 3.460514e-17 4.229582e+02 7.597819e+02 3.472555e-17 1.367797e+01 -4.194500e+00 -1.204176e-19
5.101          4.365707e+02 7.554946e+02 3.456406e-17 4.228968e+02 7.596873e+02 3.468460e-17 1.367393e+01 -4.192681e+00 -1.205403e-19
5.1011         4.365176e+02 7.554367e+02 3.455746e-17 4.228477e+02 7.596275e+02 3.467812e-17 1.366989e+01 -4.190867e+00 -1.206637e-19
5.1012         4.364363e+02 7.553108e+02 3.452962e-17 4.227704e+02 7.594998e+02 3.465040e-17 1.366586e+01 -4.189057e+00 -1.207871e-19
