# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
5.10001        4.149745e+02 6.831653e+02 3.695774e-17 4.012604e+02 6.873751e+02 3.706746e-17 1.371414e+01 -4.209786e+00 -1.097230e-19
5.10002        4.248272e+02 7.054740e+02 3.627387e-17 4.111133e+02 7.096825e+02 3.638343e-17 1.371390e+01 -4.208503e+00 -1.095564e-19
5.10003        4.312161e+02 7.207681e+02 3.609546e-17 4.175024e+02 7.249753e+02 3.620489e-17 1.371367e+01 -4.207225e+00 -1.094319e-19
5.10004        4.356143e+02 7.318960e+02 3.622781e-17 4.219008e+02 7.361020e+02 3.633714e-17 1.371345e+01 -4.205964e+00 -1.093349e-19
5.10005        4.388134e+02 7.402535e+02 3.639912e-17 4.251002e+02 7.444582e+02 3.650837e-17 1.371322e+01 -4.204727e+00 -1.092559e-19
5.10006        4.409109e+02 7.462718e+02 3.637693e-17 4.271979e+02 7.504753e+02 3.648612e-17 1.371298e+01 -4.203520e+00 -1.091891e-19
5.10007        4.423019e+02 7.508697e+02 3.640714e-17 4.285892e+02 7.550720e+02 3.651627e-17 1.371273e+01 -4.202347e+00 -1.091328e-19
5.10008        4.432074e+02 7.543530e+02 3.633601e-17 4.294949e+02 7.585542e+02 3.644509e-17 1.371248e+01 -4.201209e+00 -1.090859e-19
5.10009        4.438083e+02 7.571552e+02 3.623143e-17 4.300961e+02 7.613553e+02 3.634048e-17 1.371222e+01 -4.200105e+00 -1.090472e-19
5.1001         4.439703e+02 7.588672e+02 3.611671e-17 4.302584e+02 7.630663e+02 3.622573e-17 1.371195e+01 -4.199036e+00 -1.090152e-19
5.10011        4.440820e+02 7.604332e+02 3.603744e-17 4.303703e+02 7.646312e+02 3.614644e-17 1.371167e+01 -4.198002e+00 -1.089905e-19
5.10012        4.441020e+02 7.616531e+02 3.602321e-17 4.303906e+02 7.658501e+02 3.613218e-17 1.371138e+01 -4.197000e+00 -1.089715e-19
5.10013        4.440647e+02 7.625690e+02 3.595696e-17 4.303537e+02 7.667650e+02 3.606592e-17 1.371109e+01 -4.196029e+00 -1.089583e-19
5.10014        4.440120e+02 7.633236e+02 3.589444e-17 4.303012e+02 7.675186e+02 3.600339e-17 1.371080e+01 -4.195089e+00 -1.089499e-19
5.10015        4.438029e+02 7.636421e+02 3.578478e-17 4.300924e+02 7.678362e+02 3.589372e-17 1.371050e+01 -4.194178e+00 -1.089450e-19
5.10016        4.438896e+02 7.644061e+02 3.575873e-17 4.301794e+02 7.685994e+02 3.586768e-17 1.371019e+01 -4.193293e+00 -1.089449e-19
5.10017        4.438512e+02 7.648441e+02 3.566304e-17 4.301413e+02 7.690366e+02 3.577198e-17 1.370988e+01 -4.192436e+00 -1.089475e-19
5.10018        4.436269e+02 7.649022e+02 3.571492e-17 4.299174e+02 7.690938e+02 3.582388e-17 1.370957e+01 -4.191603e+00 -1.089530e-19
5.10019        4.437385e+02 7.654711e+02 3.569179e-17 4.300293e+02 7.696619e+02 3.580075e-17 1.370926e+01 -4.190794e+00 -1.089607e-19
5.1002         4.435129e+02 7.654748e+02 3.566089e-17 4.298040e+02 7.696648e+02 3.576986e-17 1.370894e+01 -4.190008e+00 -1.089707e-19
5.10021        4.434389e+02 7.656875e+02 3.565829e-17 4.297302e+02 7.698768e+02 3.576728e-17 1.370862e+01 -4.189244e+00 -1.089822e-19
5.10022        4.433881e+02 7.659695e+02 3.571205e-17 4.296798e+02 7.701580e+02 3.582104e-17 1.370830e+01 -4.188502e+00 -1.089952e-19
5.10023        4.431823e+02 7.659119e+02 3.571595e-17 4.294743e+02 7.700997e+02 3.582496e-17 1.370797e+01 -4.187780e+00 -1.090091e-19
5.10024        4.429583e+02 7.658848e+02 3.580097e-17 4.292506e+02 7.700718e+02 3.590999e-17 1.370765e+01 -4.187077e+00 -1.090241e-19
5.10025        4.428724e+02 7.659986e+02 3.578695e-17 4.291651e+02 7.701850e+02 3.589599e-17 1.370732e+01 -4.186393e+00 -1.090396e-19
5.10026        4.427029e+02 7.659764e+02 3.580329e-17 4.289959e+02 7.701621e+02 3.591235e-17 1.370699e+01 -4.185727e+00 -1.090554e-19
5.10027        4.425395e+02 7.659687e+02 3.587673e-17 4.288329e+02 7.701538e+02 3.598580e-17 1.370665e+01 -4.185079e+00 -1.090720e-19
5.10028        4.423433e+02 7.658746e+02 3.592686e-17 4.286370e+02 7.700591e+02 3.603595e-17 1.370632e+01 -4.184447e+00 -1.090888e-19
5.10029        4.422103e+02 7.658517e+02 3.597252e-17 4.285043e+02 7.700356e+02 3.608162e-17 1.370598e+01 -4.183831e+00 -1.091058e-19
5.1003         4.419528e+02 7.656754e+02 3.603849e-17 4.282472e+02 7.698586e+02 3.614762e-17 1.370564e+01 -4.183231e+00 -1.091227e-19
5.10031        4.417304e+02 7.654274e+02 3.600515e-17 4.280251e+02 7.696100e+02 3.611429e-17 1.370530e+01 -4.182645e+00 -1.091395e-19
5.10032        4.416236e+02 7.654450e+02 3.616024e-17 4.279186e+02 7.696271e+02 3.626939e-17 1.370496e+01 -4.182073e+00 -1.091567e-19
5.10033        4.414632e+02 7.653565e+02 3.622091e-17 4.277585e+02 7.695380e+02 3.633008e-17 1.370462e+01 -4.181515e+00 -1.091737e-19
5.10034        4.414568e+02 7.654493e+02 3.620692e-17 4.277525e+02 7.696303e+02 3.631611e-17 1.370428e+01 -4.180970e+00 -1.091901e-19
5.10035        4.411543e+02 7.650948e+02 3.630828e-17 4.274503e+02 7.692753e+02 3.641748e-17 1.370393e+01 -4.180438e+00 -1.092067e-19
