# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
5.10001        -3.415827e+02 2.074873e+02 2.840273e+03 -3.436876e+02 2.006302e+02 2.928469e+03 2.104893e+00 6.857071e+00 -8.819646e+01
5.10002        -3.527370e+02 2.124136e+02 2.976081e+03 -3.548412e+02 2.055566e+02 3.064269e+03 2.104252e+00 6.856951e+00 -8.818802e+01
5.10003        -3.603840e+02 2.156080e+02 3.072497e+03 -3.624877e+02 2.087512e+02 3.160677e+03 2.103613e+00 6.856837e+00 -8.817972e+01
5.10004        -3.659480e+02 2.178071e+02 3.143981e+03 -3.680510e+02 2.109504e+02 3.232153e+03 2.102982e+00 6.856724e+00 -8.817154e+01
5.10005        -3.701268e+02 2.194067e+02 3.198099e+03 -3.722291e+02 2.125501e+02 3.286263e+03 2.102364e+00 6.856609e+00 -8.816351e+01
5.10006        -3.731359e+02 2.204554e+02 3.238073e+03 -3.752377e+02 2.135989e+02 3.326229e+03 2.101760e+00 6.856490e+00 -8.815565e+01
5.10007        -3.754348e+02 2.211510e+02 3.269247e+03 -3.775360e+02 2.142946e+02 3.357395e+03 2.101174e+00 6.856367e+00 -8.814796e+01
5.10008        -3.771765e+02 2.216037e+02 3.293311e+03 -3.792771e+02 2.147474e+02 3.381452e+03 2.100604e+00 6.856240e+00 -8.814045e+01
5.10009        -3.785776e+02 2.219042e+02 3.313202e+03 -3.806777e+02 2.150480e+02 3.401335e+03 2.100053e+00 6.856109e+00 -8.813313e+01
5.1001         -3.794336e+02 2.219852e+02 3.326314e+03 -3.815331e+02 2.151292e+02 3.414440e+03 2.099518e+00 6.855974e+00 -8.812598e+01
5.10011        -3.802166e+02 2.220410e+02 3.338279e+03 -3.823156e+02 2.151852e+02 3.426398e+03 2.099001e+00 6.855835e+00 -8.811901e+01
5.10012        -3.808265e+02 2.220510e+02 3.347812e+03 -3.829250e+02 2.151953e+02 3.435925e+03 2.098500e+00 6.855692e+00 -8.811221e+01
5.10013        -3.812845e+02 2.220324e+02 3.355606e+03 -3.833825e+02 2.151768e+02 3.443712e+03 2.098015e+00 6.855547e+00 -8.810557e+01
5.10014        -3.816618e+02 2.220060e+02 3.362070e+03 -3.837593e+02 2.151506e+02 3.450169e+03 2.097545e+00 6.855399e+00 -8.809909e+01
5.10015        -3.818210e+02 2.219015e+02 3.365713e+03 -3.839181e+02 2.150462e+02 3.453806e+03 2.097089e+00 6.855248e+00 -8.809276e+01
5.10016        -3.822030e+02 2.219448e+02 3.371582e+03 -3.842997e+02 2.150897e+02 3.459669e+03 2.096647e+00 6.855096e+00 -8.808657e+01
5.10017        -3.824221e+02 2.219256e+02 3.375406e+03 -3.845183e+02 2.150707e+02 3.463486e+03 2.096218e+00 6.854941e+00 -8.808053e+01
5.10018        -3.824511e+02 2.218135e+02 3.377170e+03 -3.845469e+02 2.149587e+02 3.465244e+03 2.095801e+00 6.854786e+00 -8.807462e+01
5.10019        -3.827356e+02 2.218693e+02 3.381155e+03 -3.848310e+02 2.150146e+02 3.469224e+03 2.095397e+00 6.854629e+00 -8.806884e+01
5.1002         -3.827374e+02 2.217565e+02 3.382279e+03 -3.848324e+02 2.149020e+02 3.470342e+03 2.095004e+00 6.854470e+00 -8.806318e+01
5.10021        -3.828438e+02 2.217194e+02 3.384321e+03 -3.849384e+02 2.148651e+02 3.472379e+03 2.094622e+00 6.854310e+00 -8.805764e+01
5.10022        -3.829848e+02 2.216941e+02 3.386895e+03 -3.850790e+02 2.148399e+02 3.474947e+03 2.094251e+00 6.854149e+00 -8.805221e+01
5.10023        -3.829560e+02 2.215912e+02 3.387407e+03 -3.850499e+02 2.147372e+02 3.475454e+03 2.093890e+00 6.853987e+00 -8.804689e+01
5.10024        -3.829424e+02 2.214791e+02 3.388151e+03 -3.850359e+02 2.146253e+02 3.476193e+03 2.093538e+00 6.853824e+00 -8.804168e+01
5.10025        -3.829993e+02 2.214362e+02 3.389395e+03 -3.850925e+02 2.145825e+02 3.477432e+03 2.093197e+00 6.853659e+00 -8.803657e+01
5.10026        -3.829882e+02 2.213515e+02 3.389848e+03 -3.850811e+02 2.144980e+02 3.477879e+03 2.092864e+00 6.853494e+00 -8.803156e+01
5.10027        -3.829844e+02 2.212698e+02 3.390426e+03 -3.850769e+02 2.144164e+02 3.478453e+03 2.092539e+00 6.853327e+00 -8.802664e+01
5.10028        -3.829373e+02 2.211717e+02 3.390541e+03 -3.850295e+02 2.143185e+02 3.478563e+03 2.092224e+00 6.853160e+00 -8.802181e+01
5.10029        -3.829259e+02 2.211052e+02 3.390806e+03 -3.850178e+02 2.142522e+02 3.478823e+03 2.091916e+00 6.852992e+00 -8.801707e+01
5.1003         -3.828377e+02 2.209764e+02 3.390239e+03 -3.849293e+02 2.141236e+02 3.478251e+03 2.091615e+00 6.852822e+00 -8.801241e+01
5.10031        -3.827137e+02 2.208652e+02 3.389248e+03 -3.848050e+02 2.140125e+02 3.477256e+03 2.091322e+00 6.852652e+00 -8.800783e+01
5.10032        -3.827225e+02 2.208118e+02 3.389750e+03 -3.848135e+02 2.139593e+02 3.477754e+03 2.091037e+00 6.852482e+00 -8.800332e+01
5.10033        -3.826782e+02 2.207316e+02 3.389576e+03 -3.847690e+02 2.138793e+02 3.477575e+03 2.090757e+00 6.852310e+00 -8.799889e+01
5.10034        -3.827247e+02 2.207284e+02 3.390285e+03 -3.848152e+02 2.138763e+02 3.478279e+03 2.090485e+00 6.852138e+00 -8.799453e+01
5.10035        -3.825474e+02 2.205771e+02 3.388714e+03 -3.846376e+02 2.137252e+02 3.476704e+03 2.090219e+00 6.851965e+00 -8.799023e+01
5.10036        -3.823821e+02 2.204323e+02 3.387216e+03 -3.844721e+02 2.135805e+02 3.475202e+03 2.089959e+00 6.851791e+00 -8.798601e+01
5.10037        -3.823852e+02 2.204117e+02 3.387335e+03 -3.844749e+02 2.135601e+02 3.475317e+03 2.089704e+00 6.851617e+00 -8.798184e+01
5.10038        -3.823056e+02 2.203367e+02 3.386651e+03 -3.843950e+02 2.134852e+02 3.474629e+03 2.089456e+00 6.851442e+00 -8.797774e+01
5.10039        -3.821517e+02 2.202221e+02 3.385165e+03 -3.842410e+02 2.133708e+02 3.473139e+03 2.089213e+00 6.851266e+00 -8.797369e+01
5.1004         -3.820742e+02 2.201505e+02 3.384371e+03 -3.841632e+02 2.132994e+02 3.472341e+03 2.088974e+00 6.851090e+00 -8.796970e+01
5.10041        -3.819736e+02 2.200767e+02 3.383253e+03 -3.840623e+02 2.132257e+02 3.471219e+03 2.088741e+00 6.850913e+00 -8.796576e+01
5.10042        -3.818442e+02 2.199848e+02 3.381925e+03 -3.839327e+02 2.131340e+02 3.469887e+03 2.088513e+00 6.850736e+00 -8.796187e+01
5.10043        -3.817378e+02 2.199126e+02 3.380756e+03 -3.838261e+02 2.130620e+02 3.468714e+03 2.088290e+00 6.850559e+00 -8.795804e+01
5.10044        -3.816687e+02 2.198608e+02 3.380003e+03 -3.837567e+02 2.130104e+02 3.467957e+03 2.088071e+00 6.850381e+00 -8.795425e+01
5.10045        -3.817873e+02 2.199023e+02 3.381405e+03 -3.838752e+02 2.130521e+02 3.469356e+03 2.087856e+00 6.850202e+00 -8.795051e+01
5.10046        -3.813676e+02 2.196729e+02 3.376774e+03 -3.834552e+02 2.128229e+02 3.464720e+03 2.087646e+00 6.850023e+00 -8.794682e+01
5.10047        -3.811772e+02 2.195515e+02 3.374538e+03 -3.832647e+02 2.127017e+02 3.462481e+03 2.087439e+00 6.849844e+00 -8.794317e+01
5.10048        -3.809714e+02 2.194325e+02 3.372444e+03 -3.830587e+02 2.125829e+02 3.460384e+03 2.087237e+00 6.849664e+00 -8.793955e+01
5.10049        -3.811679e+02 2.195381e+02 3.374516e+03 -3.832550e+02 2.126886e+02 3.462452e+03 2.087038e+00 6.849484e+00 -8.793598e+01
5.1005         -3.809957e+02 2.194355e+02 3.372545e+03 -3.830826e+02 2.125862e+02 3.460477e+03 2.086843e+00 6.849303e+00 -8.793245e+01
5.10051        -3.810120e+02 2.194510e+02 3.372836e+03 -3.830986e+02 2.126019e+02 3.460765e+03 2.086651e+00 6.849122e+00 -8.792895e+01
5.10052        -3.807607e+02 2.193065e+02 3.369985e+03 -3.828472e+02 2.124575e+02 3.457910e+03 2.086463e+00 6.848941e+00 -8.792549e+01
5.10053        -3.807802e+02 2.193170e+02 3.370177e+03 -3.828665e+02 2.124683e+02 3.458099e+03 2.086278e+00 6.848760e+00 -8.792206e+01
5.10054        -3.806763e+02 2.192644e+02 3.368818e+03 -3.827624e+02 2.124158e+02 3.456737e+03 2.086096e+00 6.848578e+00 -8.791867e+01
5.10055        -3.805332e+02 2.191848e+02 3.367060e+03 -3.826191e+02 2.123364e+02 3.454976e+03 2.085917e+00 6.848395e+00 -8.791531e+01
5.10056        -3.805333e+02 2.191828e+02 3.367142e+03 -3.826191e+02 2.123346e+02 3.455054e+03 2.085741e+00 6.848213e+00 -8.791198e+01
5.10057        -3.803885e+02 2.191097e+02 3.365451e+03 -3.824741e+02 2.122617e+02 3.453360e+03 2.085567e+00 6.848030e+00 -8.790867e+01
5.10058        -3.803829e+02 2.191036e+02 3.365273e+03 -3.824683e+02 2.122558e+02 3.453179e+03 2.085397e+00 6.847846e+00 -8.790540e+01
5.10059        -3.802359e+02 2.190204e+02 3.363659e+03 -3.823212e+02 2.121727e+02 3.451561e+03 2.085229e+00 6.847663e+00 -8.790215e+01
5.1006         -3.801048e+02 2.189594e+02 3.362100e+03 -3.821898e+02 2.121119e+02 3.449999e+03 2.085064e+00 6.847479e+00 -8.789893e+01
5.10061        -3.798782e+02 2.188485e+02 3.359586e+03 -3.819631e+02 2.120012e+02 3.447482e+03 2.084901e+00 6.847295e+00 -8.789573e+01
